choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,54,53]",space,6.384,space,18.409,friendly,3.973913043,2.955,space,5.47,0,0,0,24,1,25,image/25.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,3.295652174,6.634,space,0.868,0,1,1,5,1,6,image/6.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,4.958695652,3.258,space,0.705,0,2,2,1,1,2,image/2.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,5.343478261,2.311,space,0.633,0,3,3,37,1,38,image/38.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,2.636956522,2.226,space,0.454,0,4,4,28,1,29,image/29.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,6.223913043,2.28,space,0.49,0,5,5,43,1,44,image/44.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,5.036956522,2.125,space,0.383,0,6,6,32,1,33,image/33.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,4.554347826,2.892,space,0.234,0,7,7,46,1,47,image/47.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,5.786956522,2.309,space,0.517,0,8,8,3,1,4,image/4.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,3.263043478,2.502,space,0.293,0,9,9,9,1,10,image/10.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,6.165217391,2.646,space,0.361,0,10,10,20,1,21,image/21.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,5.219565217,5.795,space,0.234,0,11,11,41,1,42,image/42.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,3.863043478,2.07,space,0.677,0,12,12,47,1,48,image/48.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,3.445652174,1.72,space,0.635,0,13,13,38,1,39,image/39.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,2.186956522,2.243,space,0.259,0,14,14,16,1,17,image/17.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,1,4.851,space,1.316,0,15,15,50,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,5.402173913,4.674,space,0.317,0,16,16,31,1,32,image/32.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,6.739130435,2.478,space,0.339,0,17,17,4,1,5,image/5.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,3.002173913,3.387,space,0.255,0,18,18,44,1,45,image/45.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,6.015217391,2.62,space,0.421,0,19,19,48,1,49,image/49.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,4.019565217,5.153,space,0.476,0,20,20,0,1,1,image/1.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
,,,,,,4.019565217,1.323,space,0.287,0,21,21,42,1,43,image/43.jpg,0,0,,R_10kpEEzjRy8xPwe,2,2024-05-22_11h07.19.222,face trait task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,
