chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
"[160,59,189,198,27,186,194,122,137,156,178,180,179,171,118,65,135,111,152,134,93,75,90,5,73,98,57,17,157,104,92,123,81,100,144,45,69,50,71,146,126,117]",R_10kpEEzjRy8xPwe,space,1.491,space,2.185,space,10.649,space,14.131,space,22.357,space,4.852,space,2.772,4,8.749,1,7.867,2,6.309,2,8.462,2,3.484,0,0,0,0,1,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.214,space,6.674,space,3.242,space,1.774,space,2.321,space,0.834,3,3.172,1,5.25,3,5.368,2,4.233,2,0.701,1,0,1,0,1,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,space,3.067,"[""RightButton_2""]",0.295238095,-0.313043478,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,"[""RightButton_2""]",0.281632653,-0.317391304,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,"[""RightButton_2""]",0.255782313,-0.304347826,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.221768707,-0.476086957,1,0,0,LeftButton,"[""LeftButton""]",,,,2.996598639,9.306,space,1.465,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.346938776,-0.532608696,1,0,0,LeftButton,"[""LeftButton""]",60,3.452,space,,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,1.602,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Smaller,Greater,,0.307482993,-0.510869565,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.72514258,4.123,space,50,6.611,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,0.501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,0.231292517,-0.52173913,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_10kpEEzjRy8xPwe,1,2024-05-22_10h51.49.194,interaction task,2021.2.3,MacIntel,58.82352941,120226,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246258503,-0.480434783,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
