choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,59,55]",space,8.7076,space,10.6765,competent,5.984583333,11.1151,space,2.1942,0,0,0,12,1,13,image/13.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,4.030130208,2.528,space,1.3881,0,1,1,34,1,35,image/35.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.006588542,1.8791,space,0.2117,0,2,2,0,1,1,image/1.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.998854167,1.6452,space,0.3195,0,3,3,17,1,18,image/18.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.001979167,2.5118,space,0.2011,0,4,4,11,1,12,image/12.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.590598958,5.6886,space,4.4884,0,5,5,6,1,7,image/7.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,4.980260417,2.0782,space,0.237,0,6,6,38,1,39,image/39.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.469947917,1.7625,space,28.1195,0,7,7,24,1,25,image/25.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.975911458,1.5867,space,0.288,0,8,8,25,1,26,image/26.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.989244792,2.824,space,0.2362,0,9,9,27,1,28,image/28.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,6.49953125,3.8412,space,0.5644,0,10,10,44,1,45,image/45.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.005,2.0119,space,0.7647,0,11,11,16,1,17,image/17.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,6.016770833,3.7961,space,2.0449,0,12,12,48,1,49,image/49.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,6.410989583,2.2624,space,0.564,0,13,13,20,1,21,image/21.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,6.522473958,1.1796,space,0.21,0,14,14,26,1,27,image/27.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,4.961276042,1.662,space,0.3023,0,15,15,13,1,14,image/14.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,4.964609375,0.9792,space,0.4765,0,16,16,14,1,15,image/15.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,5.382578125,1.245,space,0.3737,0,17,17,42,1,43,image/43.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,6.675729167,1.8951,space,0.3699,0,18,18,1,1,2,image/2.jpg,0,0,,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
,,,,,,6.970026042,7.1713,space,1.0733,0,19,19,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_12tSZmx8hSuXu6d,2,2024-05-11_19h51.36.801,face trait task,2021.2.3,MacIntel,57.47126437,120748,,,,,,,
