chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[88,8,39,57,165,171,103,173,151,49,167,189,190,192,89,166,137,124,183,113,66,76,108,100,68,56,145,116,70,125,17,92,154,75,142,130,174,97,203,34,83,132]",R_12tSZmx8hSuXu6d,space,1.732,space,3.4081,space,9.6986,space,21.8869,space,14.3015,space,5.1468,space,2.4105,3,9.4846,3,11.1623,1,10.7186,1,13.3612,2,5.7238,0,0,0,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.2913,space,1.1151,space,0.7654,space,0.7604,space,21.2741,space,0.7777,3,1.653,2,29.2936,2,12.1103,2,2.2587,2,2.6697,1,0,1,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,5.2719,space,0.7646,space,0.3865,space,0.5215,space,6.4602,space,0.4183,3,1.2994,1,3.6671,1,4.9631,2,1.5458,2,0.7262,2,0,2,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.168,space,0.386,space,0.3277,space,0.4499,space,0.5194,space,0.3124,3,0.9774,3,0.8471,3,3.469,2,1.0769,2,0.6291,3,0,3,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.904,space,0.3259,space,0.3276,space,0.4131,space,0.6883,space,0.4282,3,1.2459,1,2.6197,2,5.5275,2,2.0703,2,0.411,4,0,4,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5017,space,0.3502,space,0.1679,space,0.1494,space,1.472,space,0.3532,2,1.1207,3,0.6866,3,0.2009,3,0.1671,3,0.0461,5,0,5,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8465,space,0.3872,space,0.2352,space,0.528,space,0.8333,space,0.2178,3,0.5614,1,2.5332,1,0.9024,2,5.413,2,0.8351,6,0,6,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6845,space,0.2059,space,0.2283,space,0.4841,space,0.5724,space,0.4374,3,1.2296,1,1.4199,2,3.1036,2,2.5604,2,0.4704,7,0,7,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4088,space,0.2999,space,0.1691,space,0.4362,space,0.6708,space,0.1687,3,1.066,1,0.852,3,1.2446,2,1.1347,2,0.4116,8,0,8,0,1,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,space,1.6433,[],-0.347146267,-0.329262153,0,0,0,0,0,0,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,"[""LeftButton_2""]",-0.189854601,-0.304557292,1,0,0,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,"[""LeftButton_2""]",-0.234792752,-0.344288194,1,0,0,0,2,2,2,1,LeftButton_2,9dot2.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,0.4,-0.228531901,-0.527847222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,79.32317971,10.6298,space,1.2996,18.93358498,16.2132,0,0,0,0,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.343147786,-0.510564236,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,0.285687934,-0.539097222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,3,RandomDot17.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.229199219,-0.524930556,1,0,0,LeftButton,"[""LeftButton""]",10,4.1975,space,,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,0.7667,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,0.288107639,-0.525277778,1,0,0,RightButton,"[""RightButton""]",,,,3.065890842,14.3309,space,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,0.566,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.28108724,-0.540616319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,70,6.2509,space,49,10.6839,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,1.1781,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.30281033,-0.52171875,0,0,0,,[],,,,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,103,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.278298611,-0.533446181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,64,4.8188,space,51,7.0184,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,0.6845,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,0.268804253,-0.534565972,1,0,0,RightButton,"[""RightButton""]",50,2.8056,space,,,,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,0.8195,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.315326606,-0.503072917,1,0,0,LeftButton,"[""LeftButton""]",49,2.3871,space,,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,1.1439,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.261512587,-0.503975694,1,0,0,LeftButton,"[""LeftButton""]",,,,3.006537543,2.3357,space,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,1.7602,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.189702691,-0.493741319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,71.83948864,3.1656,space,0.4104,45.46627297,5.8274,0,11,11,11,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,0.286447483,-0.513098958,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,64.93724134,2.2329,space,0.9803,50.34798944,3.8327,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.239171007,-0.545234375,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
