choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,53,54]",space,12.1166,space,53.512,friendly,6.98099528,7.539,space,1.4889,0,0,0,27,1,28,image/28.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,7,1.9576,space,0.5886,0,1,1,46,1,47,image/47.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1,6.6711,space,0.7939,0,2,2,52,1,55,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,7,3.4611,space,0.5709,0,3,3,23,1,24,image/24.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,7,2.0321,space,0.4728,0,4,4,48,1,49,image/49.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,7,1.2597,space,0.4592,0,5,5,34,1,35,image/35.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,4.951809082,11.4048,space,7.8334,0,6,6,9,1,10,image/10.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,5.033078613,6.9845,space,0.4122,0,7,7,12,1,13,image/13.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,6.844009603,10.507,space,0.5297,0,8,8,31,1,32,image/32.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,4.968132324,7.4731,space,0.2946,0,9,9,49,1,50,image/50.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,2.472509766,7.6232,space,0.4334,0,10,10,29,1,30,image/30.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,4.060864258,5.3586,space,0.8413,0,11,11,25,1,26,image/26.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.032962646,3.8211,space,0.7831,0,12,12,42,1,43,image/43.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.038643799,2.5648,space,0.3549,0,13,13,35,1,36,image/36.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.038643799,1.7432,space,0.3761,0,14,14,33,1,34,image/34.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,5.01652181,3.8294,space,0.5764,0,15,15,1,1,2,image/2.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,6.970925293,2.4113,space,0.3049,0,16,16,17,1,18,image/18.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,6.970925293,2.7971,space,0.2885,0,17,17,11,1,12,image/12.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.990840454,3.1892,space,0.2962,0,18,18,41,1,42,image/42.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,6.050431315,3.4029,space,0.2286,0,19,19,14,1,15,image/15.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,6.050431315,1.2628,space,0.5551,0,20,20,43,1,44,image/44.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,4.010357259,3.2945,space,0.1825,0,21,21,7,1,8,image/8.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.464118245,5.5394,space,0.3017,0,22,22,0,1,1,image/1.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,3.948817546,3.603,space,0.3149,0,23,23,16,1,17,image/17.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.647453206,2.9469,space,0.3085,0,24,24,44,1,45,image/45.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,5.704535726,2.3318,space,0.2169,0,25,25,40,1,41,image/41.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.430230306,4.1066,space,0.1902,0,26,26,6,1,7,image/7.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.430230306,2.0417,space,0.5238,0,27,27,8,1,9,image/9.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.430230306,2.212,space,0.2364,0,28,28,45,1,46,image/46.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,1.020228678,5.0201,space,0.4483,0,29,29,50,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,2.016225586,3.3086,space,0.2323,0,30,30,22,1,23,image/23.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
,,,,,,2.888972982,4.3965,space,3.1622,0,31,31,24,1,25,image/25.jpg,0,0,,R_13m40r672zQl4g7,2,2024-05-07_21h35.25.610,face trait task,2021.2.3,MacIntel,59.52380952,120734,,,,,,,
