chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[34,91,178,186,13,129,94,47,168,193,138,173,115,65,181,64,83,166,156,136,123,78,50,118,1,124,51,52,117,98,157,100,86,201,147,133,77,146,153,182,107,60]",R_13m40r672zQl4g7,space,1.4903,space,6.8343,space,14.4109,space,14.9922,space,14.7757,space,0.1979,space,4.1461,2,9.6873,1,4.5122,3,5.7264,1,18.9234,3,6.5071,0,0,0,0,1,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.1778,space,622.5625,space,96.098,space,51.6987,space,17.9729,space,23.6769,1,6.1544,1,13.0914,3,343.5213,2,4.5466,2,5.5147,1,0,1,0,1,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,10.6532,space,411.7117,space,1.0513,space,0.9223,space,30.8259,space,1.0563,3,4.9149,1,108.1468,3,68.872,2,16.7164,2,2.7032,2,0,2,0,1,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,space,1.3125,[],-0.289724816,-0.310131836,0,0,0,0,0,0,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,"[""RightButton_2""]",0.282739258,-0.280325521,1,0,0,0,1,1,2,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,"[""LeftButton_2""]",-0.301080831,-0.307774523,1,0,0,0,2,2,1,1,RightButton_2,9dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,0.249497647,-0.540815023,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.236518606,-0.50160536,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,7.4743,space,100,9.2408,0,1,1,1,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,1.4081,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.306582218,-0.491616618,1,0,0,RightButton,"[""RightButton""]",,,,,,,78,2.1427,space,79,52.4144,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,1.3507,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.26679696,-0.531509874,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,50.30094579,2.5305,space,50.95460765,3.5604,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,5.437,,,,,,,,,
