choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,50,55]",space,4.581,space,0.936,trustworthy,4.153333333,1.296,space,1.552,0,0,0,28,1,29,image/29.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,4.726666667,0.94,space,0.404,0,1,1,32,1,33,image/33.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.813333333,1.222,space,0.523,0,2,2,43,1,44,image/44.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.813333333,0.902,space,0.32,0,3,3,19,1,20,image/20.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.813333333,1.752,space,0.336,0,4,4,15,1,16,image/16.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.813333333,0.901,space,0.505,0,5,5,31,1,32,image/32.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.813333333,1.491,space,0.257,0,6,6,36,1,37,image/37.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.806666667,1.586,space,0.951,0,7,7,24,1,25,image/25.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.806666667,1.051,space,0.236,0,8,8,0,1,1,image/1.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
,,,,,,3.806666667,0.822,space,0.17,0,9,9,30,1,31,image/31.jpg,0,0,,R_15ZREkpd1fiWnv8,2,2024-05-30_18h19.33.609,face trait task,2021.2.3,MacIntel,58.82352941,119707,,,,,,,
