chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[192,201,125,140,175,187,97,75,122,132,137,126,104,56,85,63,108,88,183,79,31,68,106,150,161,69,155,57,76,158,113,153,170,23,181,49,119,4,84,162,40,169]",R_15ZREkpd1fiWnv8,space,1.098,space,3.424,space,11.072,space,15.816,space,32.879,space,8.912,space,2.212,4,2.51,2,11.119,2,6.269,2,3.506,2,1.521,0,0,0,0,1,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.779,space,0.317,space,0.197,space,0.152,space,4.76,space,0.57,3,2.803,1,3.127,2,3.487,2,0.934,2,0.29,1,0,1,0,1,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.319,space,0.152,space,0.144,space,0.141,space,1.57,space,0.236,3,1.187,1,2.09,3,5.02,2,1.154,2,0.586,2,0,2,0,1,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,space,2.888,"[""LeftButton_2""]",-0.255555556,-0.3,1,0,0,LeftButton_2,0,0,0,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,"[""LeftButton_2""]",-0.208333333,-0.313333333,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,"[""LeftButton_2""]",-0.258333333,-0.268888889,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.281944444,-0.531111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.243055556,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,1,1,1,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,0.177777778,-0.517777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,7.979,space,81,11.278,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,1.079,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.286111111,-0.495555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,97.69921437,4.025,space,0.336700337,5.729,0,3,3,3,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.911,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,3.119,space,50,5.098,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,0.561,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.248611111,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,50.56116723,1.73,space,49.43883277,3.392,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,1.555,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247222222,-0.526666667,1,0,0,LeftButton,"[""LeftButton""]",1,2.79,space,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,2.261,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288888889,-0.537777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,6,2.498,space,0,4.034,,,,,,0,7,7,7,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,0.819,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252777778,-0.513333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,2.233,space,2,3.234,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,0.261,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,0.265277778,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,96.01571268,3.483,space,2.02020202,5.236,0,9,9,9,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,0.62,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,0.220833333,-0.455555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,95.17396184,2.305,space,0,3.488,0,10,10,10,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.391,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.229166667,-0.513333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,2,2.503,space,99,5.166,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,0.306,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.226388889,-0.537777778,1,0,0,LeftButton,"[""LeftButton""]",1,2.155,space,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,0.825,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293055556,-0.475555556,1,0,0,RightButton,"[""RightButton""]",0,1.958,space,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.384,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.279166667,-0.455555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.897867565,1.678,space,1.038159371,3.216,0,14,14,14,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,1.078,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,0.272222222,-0.457777778,1,0,0,RightButton,"[""RightButton""]",,,,2.465277778,7.15,space,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,0.706,,,,,,
