choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,51,58]",space,19.5672,space,29.6716,trustworthy,3.985015445,11.0883,space,0.7182,0,0,0,0,1,1,image/1.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,3.964541541,2.8754,space,0.3973,0,1,1,16,1,17,image/17.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.03030014,2.284,space,0.3639,0,2,2,19,1,20,image/20.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.062878503,3.0143,space,0.4327,0,3,3,6,1,7,image/7.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.028742048,1.539,space,0.3848,0,4,4,42,1,43,image/43.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,4.49625863,7.2266,space,0.2042,0,5,5,9,1,10,image/10.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,3.945315891,2.8198,space,0.2585,0,6,6,31,1,32,image/32.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,3.290637546,2.9307,space,0.2313,0,7,7,34,1,35,image/35.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,4.29409239,2.2528,space,0.4021,0,8,8,8,1,9,image/9.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,4.629159292,1.9846,space,0.3088,0,9,9,24,1,25,image/25.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,4.449181027,3.1242,space,0.9796,0,10,10,32,1,33,image/33.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,2.926296234,3.0952,space,1.4198,0,11,11,30,1,31,image/31.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.329722934,4.3353,space,2.6127,0,12,12,37,1,38,image/38.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.107042948,3.3607,space,0.2021,0,13,13,25,1,26,image/26.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,6.066832648,2.6937,space,1.2245,0,14,14,35,1,36,image/36.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.693328857,1.2912,space,0.178,0,15,15,5,1,6,image/6.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,4.180949317,6.3717,space,0.2678,0,16,16,14,1,15,image/15.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,4.41522344,1.9527,space,0.6929,0,17,17,17,1,18,image/18.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,1.019117355,5.1343,space,0.7948,0,18,18,50,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,3.655721876,3.5514,space,0.3526,0,19,19,36,1,37,image/37.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,3.390183767,2.5492,space,0.3737,0,20,20,40,1,41,image/41.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.048851861,2.057,space,0.34,0,21,21,44,1,45,image/45.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
,,,,,,5.248997582,1.3363,space,0.2631,0,22,22,22,1,23,image/23.jpg,0,0,,R_1EYAm4n1kovKRIe,2,2024-05-26_11h25.26.131,face trait task,2021.2.3,Linux x86_64,60.60606061,121505,,,,,,,
