chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[49,90,192,179,63,157,34,65,112,142,118,103,83,149,121,9,54,174,52,70,139,75,36,101,147,15,144,76,189,175,191,138,128,167,105,124,91,166,113,199,85,185]",R_1EYAm4n1kovKRIe,space,1.4111,space,2.0701,space,12.2611,space,15.0141,space,29.6155,space,13.9311,space,5.1565,3,12.9256,1,4.4285,2,8.0696,2,8.3903,2,4.5226,0,0,0,0,1,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0864,space,0.8642,space,0.3565,space,0.3929,space,0.722,space,0.3511,3,2.4006,1,2.3326,3,2.0283,2,1.199,2,0.8869,1,0,1,0,1,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,space,3.1781,"[""RightButton_2""]",0.305491686,-0.254922372,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,"[""LeftButton_2""]",-0.245591561,-0.286544941,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,"[""LeftButton_2""]",-0.244592746,-0.320199896,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,0.253443956,-0.487533004,1,0,0,RightButton,"[""RightButton""]",9,8.1934,space,0.9269,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25753355,-0.476695449,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,67.4720199,6.926,space,38.38883056,9.8556,0,1,1,1,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,0.4219,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.227288644,-0.470589108,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272094727,-0.522073534,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,39,5.1396,space,57,9.9306,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,0.9942,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1EYAm4n1kovKRIe,1,2024-05-26_11h10.42.562,interaction task,2021.2.3,Linux x86_64,60.24096386,121505,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258196513,-0.499501688,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.108252962,7.4715,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,0.7997
