choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,51,60]",space,8.1757,space,34.7781,competent,4.387198465,5.532,space,1.027,0,0,0,12,1,13,image/13.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,2.506921601,4.1856,space,0.5467,0,1,1,46,1,47,image/47.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,3.521587171,3.9535,space,0.8751,0,2,2,13,1,14,image/14.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,5.32293951,6.6462,space,0.535,0,3,3,34,1,35,image/35.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,7,4.7967,space,1.5526,0,4,4,52,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,2.383589181,4.1007,space,0.5301,0,5,5,25,1,26,image/26.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,3.45831049,2.9978,space,0.3186,0,6,6,42,1,43,image/43.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,3.45831049,5.0788,space,0.4148,0,7,7,48,1,49,image/49.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,5.039199561,3.9677,space,0.3831,0,8,8,49,1,50,image/50.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,4.323076572,3.7734,space,0.4509,0,9,9,10,1,11,image/11.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,1,3.1352,space,2.1003,0,10,10,51,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,6.262312683,3.9158,space,0.7689,0,11,11,24,1,25,image/25.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,6.998697917,3.2604,space,1.5125,0,12,12,18,1,19,image/19.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
,,,,,,4.811106542,2.9963,space,0.3868,0,13,13,38,1,39,image/39.jpg,0,0,,R_1Et4aI0weGQGovt,2,2024-05-02_17h44.28.979,face trait task,2021.2.3,MacIntel,60.24096386,120280,,,,,,,
