key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,35.966,space,18.886,1.986666667,5.707,space,0.389,0,0,0,29,1,30,image/30.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,3.473333333,2.835,space,0.24,0,1,1,14,1,15,image/15.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,1.92,2.969,space,0.381,0,2,2,13,1,14,image/14.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,1.566666667,2.585,space,0.216,0,3,3,38,1,39,image/39.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,5.046666667,4.203,space,2.049,0,4,4,7,1,8,image/8.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,5.98,1.753,space,0.222,0,5,5,20,1,21,image/21.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,4,2.102,space,0.163,0,6,6,22,1,23,image/23.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,1.913333333,2.436,space,0.541,0,7,7,50,1,57,image/57.jpg,1,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,6.653333333,13.769,space,0.816,0,8,8,49,1,50,image/50.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,4.5,5.318,space,2.103,0,9,9,1,1,2,image/2.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,5.126666667,1.852,space,0.41,0,10,10,2,1,3,image/3.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,3.486666667,3.337,space,0.279,0,11,11,47,1,48,image/48.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,4.993333333,2.569,space,0.744,0,12,12,11,1,12,image/12.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,5,4.503,space,2.343,0,13,13,41,1,42,image/42.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,3.986666667,3.218,space,0.417,0,14,14,6,1,7,image/7.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,4.533333333,3.502,space,0.485,0,15,15,19,1,20,image/20.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,4.64,4.219,space,0.679,0,16,16,24,1,25,image/25.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,6.96,2.336,space,0.371,0,17,17,17,1,18,image/18.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
,,,,6.02,2.385,space,1.112,0,18,18,16,1,17,image/17.jpg,0,R_1FEbkzkWgC4zflT,2,2024-04-14_15h11.29.262,face trait task,2021.2.3,MacIntel,30.3030303,120351,,,,,,,
