choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,58,52]",space,24.2788,space,22.6956,competent,2.992578125,4.0273,space,0.8152,0,0,0,9,1,10,image/10.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.458645833,2.303,space,0.7954,0,1,1,12,1,13,image/13.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,3.780911458,2.6504,space,0.358,0,2,2,23,1,24,image/24.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,4.580625,2.0522,space,0.4381,0,3,3,19,1,20,image/20.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,5.563151042,2.416,space,0.3599,0,4,4,5,1,6,image/6.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.429791667,2.8034,space,0.4558,0,5,5,46,1,47,image/47.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.980677083,3.4554,space,1.3954,0,6,6,15,1,16,image/16.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.377890625,1.9677,space,0.4094,0,7,7,49,1,50,image/50.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,1.827317708,1.6534,space,0.3698,0,8,8,2,1,3,image/3.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,1.876536458,2.1338,space,0.233,0,9,9,25,1,26,image/26.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,6.004505208,2.3696,space,0.4095,0,10,10,7,1,8,image/8.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,3.064713542,3.2244,space,0.3483,0,11,11,24,1,25,image/25.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.803880208,1.8998,space,0.4277,0,12,12,13,1,14,image/14.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,3.496276042,2.5587,space,0.4022,0,13,13,39,1,40,image/40.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,3.7125,2.0347,space,0.8274,0,14,14,51,1,59,image/59.jpg,1,3,Please drag the slider to around 3 to indicate that you are paying attention,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,5.040729167,3.4283,space,0.3246,0,15,15,3,1,4,image/4.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,3.993958333,3.7232,space,0.224,0,16,16,34,1,35,image/35.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,1.637005208,2.4566,space,0.3915,0,17,17,28,1,29,image/29.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.210078125,1.7865,space,0.2655,0,18,18,26,1,27,image/27.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.872578125,2.4664,space,0.2283,0,19,19,10,1,11,image/11.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.140989583,1.85,space,0.2556,0,20,20,18,1,19,image/19.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,1.491458333,1.8161,space,0.3413,0,21,21,14,1,15,image/15.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,3.474869792,2.1237,space,0.3357,0,22,22,29,1,30,image/30.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,1.580885417,1.9831,space,0.2758,0,23,23,52,1,53,image/53.jpg,1,4,Please drag the slider to around 4 to indicate that you are paying attention,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,4.601041667,2.4378,space,0.4711,0,24,24,21,1,22,image/22.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,5.010807292,2.4867,space,0.4787,0,25,25,30,1,31,image/31.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,6.189453125,2.0672,space,0.5943,0,26,26,43,1,44,image/44.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,5.769401042,1.8067,space,0.4574,0,27,27,22,1,23,image/23.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,4.814166667,2.3695,space,0.4587,0,28,28,1,1,2,image/2.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
,,,,,,2.863229167,2.9081,space,0.4394,0,29,29,38,1,39,image/39.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h15.47.216,face trait task,2021.2.3,MacIntel,30.00120005,120316
