choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,58]",space,1.2994,space,5.2333,competent,1.977239583,2.0624,space,0.2891,0,0,0,33,1,34,image/34.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,6.037135417,1.8527,space,0.4538,0,1,1,35,1,36,image/36.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,4.642369792,1.7334,space,0.4576,0,2,2,6,1,7,image/7.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,2.965859375,2.8003,space,0.3565,0,3,3,36,1,37,image/37.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,1.696536458,1.5381,space,0.2931,0,4,4,16,1,17,image/17.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,2.969010417,1.6998,space,0.3431,0,5,5,31,1,32,image/32.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,5.577057292,2.4679,space,0.332,0,6,6,20,1,21,image/21.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,4.538619792,1.6507,space,0.2908,0,7,7,1,1,2,image/2.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,6.445911458,3.104,space,1.5019,0,8,8,11,1,12,image/12.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,2.968880208,2.3681,space,0.7686,0,9,9,18,1,19,image/19.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,2.965807292,1.8038,space,0.4249,0,10,10,26,1,27,image/27.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,4.006666667,2.6692,space,0.3047,0,11,11,27,1,28,image/28.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,5.624973958,2.2351,space,0.3892,0,12,12,45,1,46,image/46.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,4.580625,2.2045,space,0.3816,0,13,13,23,1,24,image/24.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,5.963984375,2.0353,space,0.3451,0,14,14,44,1,45,image/45.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
,,,,,,4.016223958,1.5522,space,0.3383,0,15,15,29,1,30,image/30.jpg,0,0,,R_1FQhiEgg2BqpONz,2,2024-04-16_16h21.36.150,face trait task,2021.2.3,MacIntel,30.00120005,120316,,,,,,,
