chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,key_apology.rt
"[40,166,106,55,141,69,112,155,171,180,178,122,102,144,169,92,128,150,60,48,82,167,186,70,119,201,35,192,3,91,75,83,142,139,164,89,114,104,188,127,49,22]",R_1FQhiEgg2BqpONz,space,1.6316,space,2.8943,space,12.3633,space,10145.1114,space,1438.1663,space,12.1631,space,7.3039,1,21.8763,1,12.2201,3,18.5881,2,12.6733,2,6.4648,0,0,0,0,1,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.8307,space,3.3939,space,0.4344,space,0.5225,space,6.4042,space,1.2237,3,3.0769,1,4.8236,3,5.2688,2,1.4572,2,0.4437,1,0,1,0,1,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,space,3.9855,"[""RightButton_2""]",0.243717448,-0.313384973,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,"[""RightButton_2""]",0.243717448,-0.313384973,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,"[""RightButton_2""]",0.325265842,-0.35640606,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.246294488,-0.491626066,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.216965061,-0.477380862,1,0,0,RightButton,"[""RightButton""]",,,,4.98969184,9.2086,space,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,1.4039,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.280013021,-0.526615789,1,0,0,RightButton,"[""RightButton""]",19,5.6866,space,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,1.489,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.290201823,-0.51909828,1,0,0,LeftButton,"[""LeftButton""]",11,3.3165,space,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,1.0015,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FQhiEgg2BqpONz,1,2024-04-16_10h59.14.013,interaction task,2021.2.3,MacIntel,60.0024001,120316,,,,,,,,,,,,,,,,,Smaller,Greater,,0.276660156,-0.497849421,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,60.09827003,4.6752,space,28.91841593,9.2256,0,4,4,4,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,0.6908,
