chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_forgiveness.rt
"[113,149,124,61,19,45,162,182,74,136,64,52,51,175,90,89,76,99,97,125,55,178,91,29,183,132,9,194,114,143,82,163,98,179,65,189,165,153,146,131,110,200]",R_1FlaYCokradBQ0u,space,1.1457,space,2.8852,space,2.7874,space,2.5873,space,1.2172,space,3.7577,space,3.3776,2,12.8907,1,6.657,2,7.2057,2,12.2374,2,1.6922,0,0,0,0,1,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8696,space,0.7973,space,0.4657,space,0.4949,space,2.9637,space,1.0491,3,1.4327,1,2.2654,3,8.1696,2,1.7493,2,0.6484,1,0,1,0,1,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,space,1.0346,"[""RightButton_2""]",0.244173177,-0.299652778,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,"[""LeftButton_2""]",-0.320534939,-0.351640625,1,0,0,LeftButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,"[""RightButton_2""]",0.244542101,-0.280868056,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.274636502,-0.483194444,1,0,0,LeftButton,"[""LeftButton""]",,,,0.009955512,9.4862,space,0.6988,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.386067708,-0.517048611,1,0,0,LeftButton,"[""LeftButton""]",90,2.983,space,,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,1.0512,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.264605035,-0.524522569,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,31,4.3269,space,10,10.3318,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,3.8339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.270833333,-0.506970486,1,0,0,LeftButton,"[""LeftButton""]",,,,0.018256293,3.9785,space,0.3395,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.211371528,-0.467578125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.317003038,-0.545043403,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.205050998,-0.534661458,1,0,0,RightButton,"[""RightButton""]",,,,0.054307726,4.2336,space,0.363,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.36500651,-0.524947917,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.04877332,4.6,space,82.4846775,6.3824,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.3526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.278445095,-0.50703125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,69,1.8144,space,11,3.8477,,,,,,0,8,8,8,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,0.7176,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.231217448,-0.494236111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50.65542579,2.5283,space,51.83256173,5.6969,0,9,9,9,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.365945095,-0.52703125,1,0,0,LeftButton,"[""LeftButton""]",,,,1.039306641,2.6109,space,0.6877,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.339501953,-0.468046875,1,0,0,RightButton,"[""RightButton""]",71,3.7685,space,,,,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,1.1501,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.326025391,-0.514713542,1,0,0,LeftButton,"[""LeftButton""]",70,1.6853,space,,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,0.368,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.339019097,-0.520407986,1,0,0,RightButton,"[""RightButton""]",,,,,,,,73,1.5991,space,19,2.8655,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,0.2852,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302137587,-0.536180556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,42.07734901,3.9681,space,68.78649779,5.5318,0,14,14,14,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,0.6703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,0.256738281,-0.475902778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,39.88857762,3.164,space,70.71879823,4.1623,0,15,15,15,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,0.1471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259727648,-0.488333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,81,3.9084,space,22,5.3645,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.3183,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233702257,-0.507994792,1,0,0,LeftButton,"[""LeftButton""]",50,2.2846,space,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.2175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250770399,-0.500416667,1,0,0,LeftButton,"[""LeftButton""]",60,1.3021,space,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,1.0362,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283642578,-0.497491319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,1.9838,space,26,3.1176,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,1.2834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1FlaYCokradBQ0u,1,2024-05-26_15h52.49.889,interaction task,2021.2.3,MacIntel,59.17159763,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.327777778,-0.499366319,1,0,0,LeftButton,"[""LeftButton""]",59,82.6688,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,0.4865,,
