chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
"[55,201,79,32,109,148,188,94,74,194,97,71,20,90,160,158,128,66,130,120,3,174,44,53,101,189,54,118,178,70,81,165,91,186,119,139,153,100,141,171,137,155]",R_1JOTZSNdzRD5obR,space,1.794,space,3.6121,space,20.8848,space,23.0629,space,28.8918,space,14.7365,space,4.1851,3,6.8288,3,11.3674,3,11.6836,2,5.1538,2,3.0915,0,0,0,0,1,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8736,space,0.7182,space,0.7739,space,0.4356,space,2.8993,space,1.2097,3,2.6342,1,1.5727,3,3.5707,2,9.8935,2,1.4932,1,0,1,0,1,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,space,3.7539,"[""RightButton_2""]",0.321875,-0.338333435,1,0,0,RightButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,[],0.294791698,-0.295,0,0,0,,0,1,1,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,"[""LeftButton_2""]",-0.222916651,-0.276666718,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,0.305208397,-0.473333435,1,0,0,RightButton,"[""RightButton""]",61,3.9422,space,1.6032,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.310416651,-0.535,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244791651,-0.52,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,18.1632,space,31,15.8296,,,,,,0,2,2,2,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,11.9842,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,0.380208397,-0.481666718,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29375,-0.518333435,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.973958492,7.4395,space,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,1.152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240625,-0.51,1,0,0,RightButton,"[""RightButton""]",80,3.9776,space,3.3515,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277083302,-0.516666718,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.46969697,8.6425,space,49.7895655,5.1789,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,1.1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2375,-0.533333435,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,58.41751484,4.5704,space,40.10943403,8.6108,0,7,7,7,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,1.1371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2625,-0.503333435,1,0,0,RightButton,"[""RightButton""]",,,,,,,,71,3.7202,space,30,5.3971,,,,,,0,8,8,8,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,0.7517,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.364583302,-0.515,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
