choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,60]",space,12.774,space,57.666,friendly,5.060308555,14.014,space,4.373,0,0,0,22,1,23,image/23.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,4.732117812,2.606,space,0.92,0,1,1,12,1,13,image/13.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,4.050490884,2.555,space,1.468,0,2,2,28,1,29,image/29.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,4.269284712,3.174,space,0.495,0,3,3,3,1,4,image/4.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,4.79943899,3.273,space,0.531,0,4,4,0,1,1,image/1.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,3.957924264,2.139,space,0.64,0,5,5,1,1,2,image/2.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,3.62973352,2.056,space,0.551,0,6,6,45,1,46,image/46.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,3.941093969,3.257,space,2.303,0,7,7,14,1,15,image/15.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,4.134642356,2.029,space,0.965,0,8,8,25,1,26,image/26.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,3.932678822,2.74,space,0.568,0,9,9,31,1,32,image/32.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,5.001402525,2.728,space,0.707,0,10,10,18,1,19,image/19.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
,,,,,,4.210378682,3.312,space,4.097,0,11,11,46,1,47,image/47.jpg,0,0,,R_1JeBbwgNmS1aKcb,2,2024-05-29_12h45.07.681,face trait task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,
