chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
"[191,153,195,159,54,141,107,111,164,44,143,67,96,117,84,80,121,86,68,131,1,145,34,99,56,92,189,14,138,115,202,81,127,150,172,180,53,168,60,156,169,82]",R_1JeBbwgNmS1aKcb,space,7.02,space,8.15,space,43.103,space,40.604,space,52.678,space,19.146,space,6.575,3,75.134,1,17.029,3,22.307,2,6.694,2,16.665,0,0,0,0,1,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,space,4.89,[],0.06440678,-0.004207574,0,0,0,0,0,0,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,[],0.06440678,-0.004207574,0,0,0,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,"[""LeftButton_2""]",-0.305084746,-0.267882188,1,0,0,0,2,2,1,1,RightButton_2,11dot1.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,0,0.311864407,-0.461430575,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,80.13182674,19.127,space,7.466,57.19054956,20.376,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.306779661,-0.50911641,1,0,0,LeftButton,"[""LeftButton""]",60,4.522,space,,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,2.514,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,0.283050847,-0.50911641,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.289830508,-0.481065919,1,0,0,LeftButton,"[""LeftButton""]",,,,4.949152542,10.674,space,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,1.514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.327118644,-0.520336606,1,0,0,LeftButton,"[""LeftButton""]",78,2.856,space,,,,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,1.264,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.308474576,-0.47545582,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,94.68412943,4.26,space,1.042,33.56445814,9.716,0,5,5,5,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.330508475,-0.492286115,1,0,0,LeftButton,"[""LeftButton""]",59,5.095,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,3.241,,
