choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,50,55]",space,17.675,space,85.398,trustworthy,4.005357143,14.318,space,1.294,0,0,0,13,1,14,image/14.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,3.967857143,4.794,space,1.025,0,1,1,36,1,37,image/37.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,1.032142857,5.831,space,0.966,0,2,2,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,3.978571429,4.795,space,1.357,0,3,3,39,1,40,image/40.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,3.989285714,10.814,space,7.568,0,4,4,25,1,26,image/26.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,4.016071429,3.447,space,2.093,0,5,5,29,1,30,image/30.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,4.016071429,2.982,space,0.925,0,6,6,0,1,1,image/1.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,4.964285714,9.498,space,0.811,0,7,7,33,1,34,image/34.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,3.994642857,2.413,space,0.39,0,8,8,12,1,13,image/13.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
,,,,,,3.994642857,1.43,space,0.635,0,9,9,47,1,48,image/48.jpg,0,0,,R_1Jreilcdud9HMuf,2,2024-05-29_04h49.10.958,face trait task,2021.2.3,MacIntel,62.5,120429,,,,,,,
