choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,59,53]",space,5.363,space,6.1515,competent,5.888888889,6.5169,space,1.2824,0,0,0,20,1,21,image/21.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,5.233333333,5.1283,space,0.6778,0,1,1,18,1,19,image/19.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,7,8.5172,space,1.4105,0,2,2,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,6.038888889,4.9931,space,0.8026,0,3,3,22,1,23,image/23.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,4.994444444,3.552,space,0.9541,0,4,4,1,1,2,image/2.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,5.544444444,4.5045,space,1.321,0,5,5,21,1,22,image/22.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,4.483333333,4.2271,space,0.6108,0,6,6,25,1,26,image/26.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,5.988888889,4.111,space,0.4951,0,7,7,23,1,24,image/24.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,4.533333333,4.1372,space,0.9049,0,8,8,27,1,28,image/28.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
,,,,,,4.5,4.5209,space,0.512,0,9,9,34,1,35,image/35.jpg,0,0,,R_1QYUgALf2MKc3vp,2,2024-05-09_12h33.12.544,face trait task,2021.2.3,Win32,60.97560976,120802,,,,,,,
