chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[182,53,11,164,126,160,104,55,77,148,58,176,66,117,105,38,120,188,94,145,108,168,165,134,137,107,189,34,203,86,194,170,70,124,143,110,82,17,63,88,144,83]",R_1RlIO1DP8koMWuo,space,6.9439,space,0.8797,space,0.9274,space,2.4357,space,1.0063,space,2.8398,space,1.1963,1,8.1301,1,11.2205,3,9.7389,3,15.7941,2,8.1458,0,0,0,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.3632,space,12.7628,space,26.7584,space,7.848,space,4.2452,space,1.2825,3,6.3829,2,10.952,3,7.0146,1,5.7644,3,8.9126,1,0,1,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.5484,space,5.558,space,0.5007,space,4.5009,space,5.6733,space,0.3564,3,2.9766,2,7.206,3,11.0903,2,7.9587,3,8.6397,2,0,2,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4409,space,13.0107,space,6.4322,space,2.9719,space,8.3656,space,0.611,3,3.3493,2,6.5807,3,16.0099,2,5.5486,3,3.2976,3,0,3,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,8.9585,space,1.1086,space,0.5524,space,0.4854,space,24.2407,space,0.5495,3,1.999,2,3.1169,3,66.969,2,4.0887,3,7.075,4,0,4,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.2183,space,0.7485,space,0.4385,space,20.08,space,7.8815,space,0.4172,3,1.8352,2,22.6843,3,12.8876,2,5.666,2,2.7298,5,0,5,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.7906,space,0.6254,space,0.6162,space,0.741,space,3.5376,space,0.49,3,2.3829,2,2.5651,3,3.7102,3,1.0759,3,0.3339,6,0,6,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8499,space,1.9166,space,0.5745,space,0.7167,space,4.9594,space,62.8821,3,55.3823,1,7.4468,3,8.6057,2,3.4554,2,3.3053,7,0,7,0,1,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,space,2.9949,"[""LeftButton_2""]",-0.247128135,-0.323548195,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,"[""RightButton_2""]",0.181936164,-0.308710831,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,"[""RightButton_2""]",0.374344675,-0.308008345,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.309249075,-0.557997701,0,0,0,[],182,,,,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.23476691,-0.472709469,1,0,0,"[""LeftButton""]",,48,7.6947,space,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,LeftButton,3.7034,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.311831826,-0.498116059,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot38.png,No answer,21,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291985763,-0.517913403,1,0,0,"[""RightButton""]",,,,,4.866718493,12.4896,space,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,RightButton,,1.27,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.238229852,-0.524363505,1,0,0,"[""LeftButton""]",,,,,,,,20,8.7381,space,100,13.8225,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,LeftButton,,,0.9395,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,0.33749229,-0.543383856,1,0,0,"[""RightButton""]",,,,,2.445196854,8.5896,space,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,RightButton,,1.5176,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.379407381,-0.48294874,1,0,0,"[""RightButton""]",,51,3.4265,space,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,RightButton,0.5924,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.214079204,-0.473890923,1,0,0,"[""LeftButton""]",,49,1.1304,space,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,LeftButton,1.229,,,,,,,,
