chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[203,55,117,193,176,139,167,75,183,61,74,104,172,162,171,185,191,97,39,128,110,51,70,150,105,15,89,152,131,120,149,72,62,87,158,112,142,92,24,5,133,59]",R_1YUzjPBvYVnwzBL,space,1.387,space,3.676,space,16.705,space,20.544,space,26.834,space,10.109,space,9.789,2,7.104,1,10.362,3,4.791,1,12.072,3,6.46,0,0,0,0,1,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.564,space,11.864,space,4.344,space,30.037,space,10.227,space,1.247,3,2.232,1,4.798,3,3.186,2,2.696,2,5.157,1,0,1,0,1,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,space,3.338,"[""LeftButton_2""]",-0.23537415,-0.295652174,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,"[""RightButton_2""]",0.282993197,-0.354347826,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,"[""LeftButton_2""]",-0.204081633,-0.306521739,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.25170068,-0.523913043,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.198639456,-0.534782609,1,0,0,RightButton,"[""RightButton""]",30,7.271,space,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,1.357,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.20952381,-0.493478261,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989795918,6.641,space,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,1.025,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.232653061,-0.504347826,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.289795918,-0.508695652,1,0,0,RightButton,"[""RightButton""]",,,,,,,100,6.082,space,70,12.899,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,1.951,,,,,,,
