choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,55,57]",space,8.7491,space,14.6261,critical,3.007929432,4.2402,space,1.2863,0,0,0,9,1,10,image/10.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,5.003690657,2.3637,space,0.633,0,1,1,2,1,3,image/3.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.044149029,2.6294,space,0.5304,0,2,2,29,1,30,image/30.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,3.605092376,2.2613,space,0.5174,0,3,3,49,1,50,image/50.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,7,7.3163,space,2.061,0,4,4,52,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.097009471,3.1796,space,0.6888,0,5,5,41,1,42,image/42.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,2.586471001,2.6638,space,0.4177,0,6,6,35,1,36,image/36.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,2.980172767,3.1384,space,0.3963,0,7,7,19,1,20,image/20.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,3.036606934,2.3071,space,0.9013,0,8,8,24,1,25,image/25.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,4.492012102,5.059,space,1.8008,0,9,9,32,1,33,image/33.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,7,3.8341,space,1.5502,0,10,10,51,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,5.101957145,2.7209,space,0.5701,0,11,11,13,1,14,image/14.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.324938611,1.5142,space,1.9315,0,12,12,47,1,48,image/48.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,5.996703987,3.0738,space,0.6007,0,13,13,45,1,46,image/46.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,3.01235822,2.4693,space,0.7156,0,14,14,31,1,32,image/32.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,3.702854595,2.5176,space,0.9164,0,15,15,36,1,37,image/37.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,5.309408618,2.3471,space,0.4523,0,16,16,18,1,19,image/19.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.455785196,2.2388,space,0.6681,0,17,17,27,1,28,image/28.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,2.766165809,2.2481,space,0.4349,0,18,18,23,1,24,image/24.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,5.703351555,3.2364,space,0.5309,0,19,19,40,1,41,image/41.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,2.161482694,2.8013,space,0.9039,0,20,20,34,1,35,image/35.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,4.623319107,2.6391,space,0.6995,0,21,21,15,1,16,image/16.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,3.89145083,2.7477,space,0.3041,0,22,22,26,1,27,image/27.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.181331852,2.6834,space,0.7552,0,23,23,21,1,22,image/22.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.712019118,3.269,space,1.7213,0,24,24,42,1,43,image/43.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,6.213824252,3.8894,space,0.68,0,25,25,33,1,34,image/34.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
,,,,,,3.573740061,2.4903,space,0.5185,0,26,26,37,1,38,image/38.jpg,0,0,,R_1dEQmznFrOUMB26,2,2024-05-17_19h06.23.232,face trait task,2021.2.3,MacIntel,57.14285714,120760,,,,,,,
