chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_forgiveness.rt
"[68,6,107,75,95,135,96,178,166,130,78,12,140,120,25,36,102,108,183,181,51,54,187,163,151,171,74,92,144,111,161,57,69,67,192,154,123,203,84,110,174,139]",R_1dEQmznFrOUMB26,space,1.9056,space,1.799,space,7.2357,space,13.1,space,69.0905,space,5.457,space,22.1489,4,6.872,2,8.9288,3,6.2892,2,5.4521,2,4.3388,0,0,0,0,1,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0929,space,5.414,space,1.0468,space,0.4621,space,2.1259,space,0.9998,3,3.5661,1,4.4488,2,2.4481,2,3.9649,2,1.5612,1,0,1,0,1,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1893,space,3.1151,space,4.4982,space,9.4273,space,4.7152,space,3.2491,3,2.1181,1,2.7498,3,2.7489,2,1.7008,2,0.8614,2,0,2,0,1,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,space,1.0731,"[""LeftButton_2""]",-0.225598501,-0.311951883,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,"[""RightButton_2""]",0.253184393,-0.347243335,1,0,0,RightButton_2,0,1,1,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,"[""RightButton_2""]",0.303426535,-0.313428145,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,0,-0.228536184,-0.476153239,1,0,0,LeftButton,"[""LeftButton""]",,,,1.986385234,7.5017,space,1.2957,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.212865497,-0.506475094,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255797697,-0.53112576,1,0,0,LeftButton,"[""LeftButton""]",0,7.4587,space,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,1.7838,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284923246,-0.532930893,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,10.821,space,50,14.4884,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,0.4163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289533077,-0.471622135,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.97387988,9.8157,space,100,13.217,0,4,4,4,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.9334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259219664,-0.525871141,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,3.9289,space,100,6.5966,0,5,5,5,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,0.7674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252549342,-0.506957437,1,0,0,LeftButton,"[""LeftButton""]",20,4.6868,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,0.8025,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284306469,-0.538916335,1,0,0,RightButton,"[""RightButton""]",,,,,,,,94,7.507,space,21,11.3262,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,0.5841,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.234183114,-0.503420253,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989834613,7.0383,space,0.9715,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.300986842,-0.515836939,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,5,4.7447,space,6,7.1232,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,0.8853,
