choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,60,60]",space,33.9823,space,12.114,competent,6.022098076,5.0091,space,1.5947,0,0,0,34,1,35,image/35.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,5.91340305,5.2948,space,0.7257,0,1,1,9,1,10,image/10.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,6.040838787,3.4186,space,1.0339,0,2,2,36,1,37,image/37.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,5.995861629,5.1515,space,0.37,0,3,3,35,1,36,image/36.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,5.002615615,3.1382,space,0.8867,0,4,4,1,1,2,image/2.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,5.444891453,3.9948,space,0.4186,0,5,5,28,1,29,image/29.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,4.005622076,5.7112,space,0.7249,0,6,6,7,1,8,image/8.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,6.048334522,4.5534,space,0.7524,0,7,7,17,1,18,image/18.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,4.571584753,3.0242,space,0.55,0,8,8,22,1,23,image/23.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,4.009370287,5.8699,space,0.4175,0,9,9,11,1,12,image/12.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,3.563346582,6.32,space,1.3874,0,10,10,13,1,14,image/14.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,3.001132115,3.8068,space,1.0577,0,11,11,4,1,5,image/5.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,3.016124616,3.3512,space,0.8399,0,12,12,39,1,40,image/40.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,2.986139958,2.9842,space,0.8158,0,13,13,24,1,25,image/25.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,5.036348483,2.7908,space,0.6589,0,14,14,12,1,13,image/13.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,3.668293396,2.8698,space,0.344,0,15,15,46,1,47,image/47.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,4.013118155,3.7682,space,0.6018,0,16,16,41,1,42,image/42.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,4.991371326,4.204,space,0.2759,0,17,17,32,1,33,image/33.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,6.022098076,3.8823,space,0.31,0,18,18,29,1,30,image/30.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,4.976379169,5.4274,space,0.3529,0,19,19,27,1,28,image/28.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,6.014601654,2.3731,space,0.5695,0,20,20,30,1,31,image/31.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,3.979385287,3.2004,space,0.5991,0,21,21,47,1,48,image/48.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,6.599304699,3.0065,space,0.352,0,22,22,45,1,46,image/46.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
,,,,,,6.355678888,1.8563,space,0.634,0,23,23,31,1,32,image/32.jpg,0,0,,R_1g31aXiXPgtLRgR,2,2024-04-20_16h56.33.288,face trait task,2021.2.3,Win32,59.17159763,120256,,,,,,,
