chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
"[147,129,107,184,68,167,58,92,172,102,195,36,95,100,116,75,77,65,145,6,79,173,66,128,199,86,117,137,133,126,163,160,183,56,25,188,119,14,52,132,154,176]",R_1g31aXiXPgtLRgR,space,4.3292,space,4.0279,space,14.7885,space,23.3218,space,45.423,space,10.7691,space,4.6706,3,9.3773,1,5.3032,3,7.001,2,6.3573,2,3.7509,0,0,0,0,1,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,space,2.7675,"[""LeftButton_2""]",-0.330599445,-0.303342782,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,"[""RightButton_2""]",0.241163883,-0.299593953,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,"[""RightButton_2""]",0.292716314,-0.293345829,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,0.259129172,-0.539518977,1,0,0,RightButton,"[""RightButton""]",27,11.0896,space,6.8119,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269283391,-0.513277177,1,0,0,RightButton,"[""RightButton""]",,,,,,,,10,4.453,space,11,8.6685,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,1.0111,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268892794,-0.508278701,1,0,0,LeftButton,"[""LeftButton""]",3,2.9191,space,1.6016,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288810779,-0.51452671,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.91803561,5.3105,space,15.6463131,11.3108,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,2.3849,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28724868,-0.497032216,1,0,0,RightButton,"[""RightButton""]",,,,,4.977548024,10.3728,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,0.9636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257957383,-0.507029053,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.961928649,5.0525,space,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,0.5667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254442587,-0.497032216,1,0,0,RightButton,"[""RightButton""]",1,2.1711,space,1.1364,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301308434,-0.53202132,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.38403456,3.9847,space,19.74824116,5.1617,0,7,7,7,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,0.6007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.331380566,-0.484536082,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,3.1178,space,30,7.4327,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,0.695,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253270798,-0.478288073,1,0,0,LeftButton,"[""LeftButton""]",4,2.8849,space,0.6855,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.286467487,-0.492033739,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255223637,-0.530771672,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,
