choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50,60]",space,6.9185,space,31.1699,critical,2.987633747,6.6167,space,1.2108,0,0,0,2,1,3,image/3.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.143342391,3.5018,space,1.617,0,1,1,46,1,47,image/47.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.267397673,6.5803,space,4.5845,0,2,2,18,1,19,image/19.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.505954908,3.023,space,1.0545,0,3,3,1,1,2,image/2.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.998110564,3.2007,space,1.1508,0,4,4,45,1,46,image/46.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.103069803,3.8675,space,2.2193,0,5,5,17,1,18,image/18.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.996168054,3.8832,space,1.8008,0,6,6,14,1,15,image/15.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.985245414,2.63,space,0.6634,0,7,7,28,1,29,image/29.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.036238961,3.4729,space,0.7726,0,8,8,27,1,28,image/28.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.98686948,3.1295,space,0.2327,0,9,9,12,1,13,image/13.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.001666525,4.38,space,0.9345,0,10,10,8,1,9,image/9.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.005636464,5.6019,space,0.1132,0,11,11,49,1,50,image/50.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.018703295,2.6462,space,0.2498,0,12,12,13,1,14,image/14.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.017705503,3.3732,space,1.3675,0,13,13,21,1,22,image/22.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.035740065,2.4794,space,0.3026,0,14,14,9,1,10,image/10.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.971371858,3.4131,space,0.9656,0,15,15,41,1,42,image/42.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.010551121,2.8559,space,0.3162,0,16,16,24,1,25,image/25.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.000201681,1.8631,space,0.4679,0,17,17,31,1,32,image/32.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.000201681,1.4515,space,0.4064,0,18,18,22,1,23,image/23.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.000201681,1.0968,space,0.3863,0,19,19,35,1,36,image/36.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.331320058,1.5398,space,0.8693,0,20,20,16,1,17,image/17.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1,7.4467,space,1.9015,0,21,21,50,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.998736838,5.7778,space,2.6501,0,22,22,11,1,12,image/12.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.505243716,2.4213,space,1.8171,0,23,23,33,1,34,image/34.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.964695143,2.0544,space,0.6001,0,24,24,26,1,27,image/27.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.060164742,2.1852,space,0.4164,0,25,25,25,1,26,image/26.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.267599355,2.9824,space,0.4301,0,26,26,5,1,6,image/6.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.381029212,3.0233,space,0.4623,0,27,27,44,1,45,image/45.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.845416525,1.8681,space,0.5504,0,28,28,36,1,37,image/37.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.988589079,1.5801,space,0.5106,0,29,29,29,1,30,image/30.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.506061056,1.7632,space,0.4296,0,30,30,4,1,5,image/5.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.477475374,2.7178,space,0.404,0,31,31,10,1,11,image/11.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.030199134,2.3197,space,0.2327,0,32,32,15,1,16,image/16.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.020295516,2.0878,space,0.5176,0,33,33,6,1,7,image/7.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,6.047214674,1.9793,space,0.3869,0,34,34,40,1,41,image/41.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.277619735,4.4512,space,2.2848,0,35,35,20,1,21,image/21.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.019138502,3.8342,space,2.1801,0,36,36,38,1,39,image/39.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.801216457,4.9386,space,0.3429,0,37,37,30,1,31,image/31.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.990913723,2.5505,space,0.1877,0,38,38,0,1,1,image/1.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.627367103,7.1016,space,3.2505,0,39,39,19,1,20,image/20.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.971541695,2.938,space,1.55,0,40,40,3,1,4,image/4.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.337497877,2.9175,space,1.2053,0,41,41,43,1,44,image/44.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.644350798,2.8076,space,0.6132,0,42,42,42,1,43,image/43.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.384797469,2.8794,space,0.2308,0,43,43,37,1,38,image/38.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1,4.4461,space,1.0682,0,44,44,51,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.030517578,2.2551,space,0.3981,0,45,45,23,1,24,image/24.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.996550187,4.1466,space,2.1864,0,46,46,47,1,48,image/48.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.996550187,1.2422,space,0.3234,0,47,47,39,1,40,image/40.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,7,4.8185,space,1.1922,0,48,48,52,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.595681895,2.5942,space,0.2516,0,49,49,48,1,49,image/49.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.018331776,3.5975,space,2.1724,0,50,50,34,1,35,image/35.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.939134681,1.83,space,0.5809,0,51,51,7,1,8,image/8.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,6.704929518,3.2057,space,0.3773,0,52,52,32,1,33,image/33.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,0,0,0,0,1,0,critical.png
,,,,,trustworthy,4.025220788,7.3831,space,5.3513,0,0,0,12,1,13,image/13.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.991773522,3.3632,space,0.4295,0,1,1,4,1,5,image/5.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.019287109,3.9712,space,1.9806,0,2,2,11,1,12,image/12.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.998354704,4.3299,space,1.5887,0,3,3,27,1,28,image/28.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.998354704,1.4242,space,0.668,0,4,4,34,1,35,image/35.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.985585088,3.8894,space,0.3174,0,5,5,3,1,4,image/4.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.026621943,1.8242,space,0.3392,0,6,6,40,1,41,image/41.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,6.981339164,2.2863,space,0.3144,0,7,7,1,1,2,image/2.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.600936226,2.8894,space,0.9198,0,8,8,45,1,46,image/46.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.982793393,2.4176,space,0.2306,0,9,9,8,1,9,image/9.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.016633407,4.8977,space,0.3166,0,10,10,49,1,50,image/50.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.991794752,2.1294,space,0.1802,0,11,11,39,1,40,image/40.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.010211447,10.8655,space,4.0002,0,12,12,47,1,48,image/48.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.051630435,10.8265,space,4.8255,0,13,13,46,1,47,image/47.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.971393088,2.2462,space,0.3393,0,14,14,24,1,25,image/25.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.971393088,1.2308,space,0.3859,0,15,15,7,1,8,image/8.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.018215014,3.6843,space,0.3855,0,16,16,42,1,43,image/43.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.514245075,3.2874,space,0.3007,0,17,17,44,1,45,image/45.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.017620584,2.6904,space,0.2908,0,18,18,21,1,22,image/22.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.017620584,1.4838,space,0.3684,0,19,19,41,1,42,image/42.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.595501444,2.4301,space,0.355,0,20,20,0,1,1,image/1.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,7,3.5115,space,1.3678,0,21,21,52,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1,3.3613,space,1.5509,0,22,22,50,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.017535666,3.7591,space,0.3516,0,23,23,10,1,11,image/11.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,3.975957456,4.7567,space,0.2502,0,24,24,28,1,29,image/29.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.590746009,2.1343,space,0.4944,0,25,25,16,1,17,image/17.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,2.993461277,2.6966,space,0.4186,0,26,26,32,1,33,image/33.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.021282694,2.4632,space,0.4021,0,27,27,19,1,20,image/20.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.021346382,4.4105,space,0.3731,0,28,28,2,1,3,image/3.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.647662619,2.4842,space,0.3624,0,29,29,22,1,23,image/23.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.99916143,3.0756,space,0.2253,0,30,30,6,1,7,image/7.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.519488791,3.6359,space,0.5038,0,31,31,18,1,19,image/19.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,5.771919582,6.0067,space,0.4744,0,32,32,31,1,32,image/32.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.016431726,3.0309,space,0.6671,0,33,33,29,1,30,image/30.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,4.978897758,3.448,space,0.4644,0,34,34,26,1,27,image/27.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,6.032438859,1.9646,space,0.5694,0,35,35,15,1,16,image/16.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
,,,,,,1.990106997,3.0296,space,0.2204,0,36,36,43,1,44,image/44.jpg,0,0,,R_1g62pACNcXR9tqu,2,2024-05-20_14h34.16.701,face trait task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,
