chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt
"[139,9,178,128,160,144,197,64,94,75,63,180,80,103,127,28,145,58,42,51,112,119,78,157,174,96,66,190,156,168,101,88,89,111,151,138,16,201,131,52,184,135]",R_1g62pACNcXR9tqu,space,15.0438,space,4.5621,space,22.2058,space,39.9397,space,55.6494,space,13.6374,space,10.3138,1,13.7743,2,20.4179,3,16.9035,2,7.6235,2,4.0831,0,0,0,0,1,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.5208,space,0.3314,space,0.2248,space,0.573,space,1.0383,space,0.3917,3,4.1689,3,5.4584,3,3.8869,2,3.4868,2,0.5558,1,0,1,0,1,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.318,space,0.2222,space,0.1661,space,0.1902,space,1.5172,space,0.3673,3,1.9567,1,3.7365,3,14.7497,2,14.7483,2,0.5814,2,0,2,0,1,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,space,1.2787,[],0.312542517,0.062763247,0,0,0,0,0,0,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,"[""RightButton_2""]",0.25390625,-0.291210937,1,0,0,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,"[""LeftButton_2""]",-0.294690689,-0.296518342,1,0,0,0,2,2,0,1,LeftButton_2,11dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,0.274032738,-0.520499321,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,69.21586185,9.0995,space,1.9722,62.67994572,17.1615,0,0,0,0,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.240141369,-0.534349524,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.258843537,-0.527199389,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,4.537,space,42,8.9132,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,2.0347,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.262845451,-0.4765625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,34,5.0377,space,41,9.9501,,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.6341,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,0.232993197,-0.501460598,1,0,0,RightButton,"[""RightButton""]",,,,4.018707483,9.8768,space,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,2.8528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,0.265587798,-0.515998641,1,0,0,RightButton,"[""RightButton""]",89,1.9723,space,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,0.8003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.278720238,-0.533670177,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,0.22151892,-0.514376698,1,0,0,RightButton,"[""RightButton""]",,,,4.012808248,7.3654,space,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,3.2522,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.256308461,-0.490786345,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,38.57516491,2.9212,space,1.3367,63.71173469,5.4255,0,8,8,8,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.251286139,-0.535589334,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,74,9.2854,space,76,2.4273,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,2.7691,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.225882228,-0.498564878,1,0,0,LeftButton,"[""LeftButton""]",,,,4.287202381,5.1167,space,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,3.1012,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,0.346136267,-0.491983696,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,26.96619683,5.5833,space,0.9695,86.21998042,2.6883,0,11,11,11,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.220727041,-0.542102582,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,60,3.6116,space,92,5.6797,,,,,,,0,12,12,12,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,3.5186,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.309863946,-0.541423234,1,0,0,LeftButton,"[""LeftButton""]",70,1.5572,space,,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,0.7525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.22983631,-0.513196332,1,0,0,RightButton,"[""RightButton""]",,,,,,,75,2.7069,space,86,5.6579,,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,1.7708,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.33664966,-0.493775476,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.271603954,-0.500220788,1,0,0,LeftButton,"[""LeftButton""]",100,2.9592,space,,,,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,1.2666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.278459821,-0.514402174,1,0,0,LeftButton,"[""LeftButton""]",97,1.655,space,,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,0.8558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.242469175,-0.510190217,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,0.355032951,-0.509663723,1,0,0,RightButton,"[""RightButton""]",95,2.1267,space,,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,1.4641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.218590561,-0.54443784,1,0,0,LeftButton,"[""LeftButton""]",,,,2.031808036,3.006,space,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.9336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.345264668,-0.523751698,1,0,0,LeftButton,"[""LeftButton""]",,,,4.966517857,2.7759,space,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,0.8287,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.35355017,-0.537873641,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,47,5.6995,space,95,2.0572,,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,0.8863,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.169467474,-0.517841372,1,0,0,LeftButton,"[""LeftButton""]",,,,4.992958121,2.4188,space,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,0.736,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.282876276,-0.522673234,1,0,0,RightButton,"[""RightButton""]",,,,,,,11,4.8876,space,100,3.5087,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,0.5673,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.280787628,-0.472681726,1,0,0,LeftButton,"[""LeftButton""]",89,2.9201,space,,,,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,0.8182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,0.301876063,-0.54172894,1,0,0,RightButton,"[""RightButton""]",,,,4.934842687,3.611,space,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,0.7018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h07.06.488,interaction task,2021.2.3,MacIntel,29.94011976,120789,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.333280187,-0.515336277,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,21.88670291,9.1981,space,0.8157,100,4.0857,0,27,27,27,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,
