chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[92,178,86,127,98,130,144,150,125,186,158,65,77,11,63,192,179,139,59,40,133,148,119,187,22,57,35,82,157,201,162,93,69,142,116,75,190,96,97,177,51,109]",R_1g62pACNcXR9tqu,space,3.0985,space,2.0891,space,0.2069,space,0.1258,space,0.1323,space,0.3591,space,0.1687,3,2.3517,1,8.7508,3,5.8705,2,1.4462,2,0.6567,0,0,0,0,1,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,space,0.9357,"[""LeftButton_2""]",-0.186314174,-0.314824643,1,0,0,LeftButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,"[""RightButton_2""]",0.235026042,-0.350639012,1,0,0,RightButton_2,0,1,1,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,"[""LeftButton_2""]",-0.258544922,-0.290845788,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,0,0.159621466,-0.227507218,0,0,0,[],92,,,,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.315813337,-0.468887993,1,0,0,"[""RightButton""]",,,,,,,,89,2.3434,space,10,8.2884,,,,,,0,1,1,1,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,RightButton,3.797,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.21203032,-0.527226987,1,0,0,"[""RightButton""]",,,,,,,,,,,,,40.67944136,8.0504,space,52.26525861,6.6507,0,2,2,2,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,RightButton,,4.4163,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315406436,-0.536950153,1,0,0,"[""LeftButton""]",,,,,,,,70,1.3903,space,24,4.2533,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,LeftButton,0.6058,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.229387556,-0.507218071,1,0,0,"[""RightButton""]",,48,2.9663,space,,,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,RightButton,,,1.1872,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295503162,-0.52290676,1,0,0,"[""LeftButton""]",,,,,,,,61,19.9999,space,32,21.8561,,,,,,0,5,5,5,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,LeftButton,1.3343,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.242850167,-0.481965438,1,0,0,"[""LeftButton""]",,58,1.7396,space,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,LeftButton,,,0.9989,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295724051,-0.481583305,1,0,0,"[""RightButton""]",,57,2.8871,space,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,RightButton,,,1.8562,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260323661,-0.504288383,1,0,0,"[""RightButton""]",,,,,,,,64,2.2395,space,33,6.7794,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,RightButton,1.785,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Smaller,Greater,,0.288539342,-0.518682065,1,0,0,"[""RightButton""]",,,,,,,,,,,,,38.44823796,4.5649,space,68.48845599,2.7262,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,RightButton,,0.8846,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g62pACNcXR9tqu,1,2024-05-20_14h21.11.715,interaction task,2021.2.3,MacIntel,59.88023952,120789,,,,,,,,,,,,,,,,,Greater,Smaller,,0.245233445,-0.543510105,1,0,0,"[""RightButton""]",,,,,4.026402065,2.0559,space,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,RightButton,,,,0.9535,,,,,
