chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[139,189,99,155,62,86,181,159,158,89,109,77,125,112,168,63,5,193,128,52,174,43,48,126,202,16,182,142,108,154,70,58,135,104,169,88,164,33,72,101,153,76]",R_1hbYZAAG1H7UZQE,space,1.1841,space,3.7445,space,17.2096,space,19.6454,space,8.0514,space,10.5054,space,5.5047,3,4.0808,1,9.7721,3,8.5558,1,7.9312,3,7.0879,0,0,0,0,1,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8478,space,1.6503,space,5.345,space,10.5336,space,1.1527,space,1.0684,3,2.0862,1,1.334,3,1.3602,2,0.9348,2,0.4788,1,0,1,0,1,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,space,13.9303,[],-0.286969253,-0.263020833,0,0,0,0,0,0,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,"[""LeftButton_2""]",-0.210834553,-0.291666667,1,0,0,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,"[""RightButton_2""]",0.231332357,-0.309895833,1,0,0,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,0,-0.251830161,-0.486979167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,14.801,space,3.9909,0,12.5302,0,0,0,0,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,0.263543192,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.73945901,3.0789,space,1.8538,36.68973779,7.3963,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266471449,-0.513020833,1,0,0,LeftButton,"[""LeftButton""]",0,3.7045,space,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,1.3615,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.303074671,-0.471354167,1,0,0,LeftButton,"[""LeftButton""]",26,2.7876,space,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,2.1102,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.251830161,-0.510416667,1,0,0,RightButton,"[""RightButton""]",,,,0.040263543,9.2664,space,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,3.3595,,,,,,,
