chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[201,81,173,189,195,170,185,52,165,180,164,117,169,13,76,63,4,107,112,67,154,86,36,48,106,72,149,94,136,160,71,131,95,150,123,125,109,59,103,30,132,140]",R_1lghUhjTVIzEwwh,space,1.555,space,4.123,space,16.383,space,34.692,space,13.426,space,6.857,space,7.684,2,7.894,1,8.674,1,10.576,1,6.945,1,10.148,0,0,0,0,1,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,709.325,space,64.561,space,27.325,space,66.005,space,9.126,space,1.652,3,4.43,1,4.836,3,22.766,2,7.663,2,2.155,1,0,1,0,1,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,space,47.121,"[""LeftButton_2""]",-0.254166667,-0.317073171,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,"[""LeftButton_2""]",-0.269444444,-0.312195122,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,"[""LeftButton_2""]",-0.302777778,-0.258536585,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.295833333,-0.47804878,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.309722222,-0.519512195,1,0,0,RightButton,"[""RightButton""]",,,,,,,80,10.581,space,20,13.98,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,1.139,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.343055556,-0.485365854,1,0,0,RightButton,"[""RightButton""]",,,,,,,79,4.131,space,20,9.083,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,1.104,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.308333333,-0.512195122,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,50.28058361,5.512,space,88.2996633,10.093,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,0.821,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263888889,-0.519512195,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,4,4,4,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,
