choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,58,59]",space,0.9151,space,0.6126,trustworthy,3.028359375,4.3921,space,1.0612,0,0,0,22,1,23,image/23.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.0046875,2.0971,space,0.7964,0,1,1,48,1,49,image/49.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,3.999140625,4.2267,space,0.8868,0,2,2,51,1,59,image/59.jpg,1,3,Please drag the slider to around 3 to indicate that you are paying attention,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,4.022578125,7.579,space,0.8762,0,3,3,3,1,4,image/4.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,3.030989583,9.2716,space,0.7472,0,4,4,29,1,30,image/30.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,3.985234375,9.1831,space,0.4835,0,5,5,49,1,50,image/50.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1,2.454,space,0.4343,0,6,6,8,1,9,image/9.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.02015625,1.9799,space,0.4369,0,7,7,37,1,38,image/38.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1,1.7879,space,0.6172,0,8,8,13,1,14,image/14.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.01640625,3.0476,space,0.3619,0,9,9,34,1,35,image/35.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1.021015625,2.4205,space,0.4688,0,10,10,42,1,43,image/43.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,3.007890625,5.8226,space,0.5772,0,11,11,11,1,12,image/12.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,4.02140625,2.0286,space,0.5507,0,12,12,14,1,15,image/15.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1.977369792,2.897,space,0.3792,0,13,13,2,1,3,image/3.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1.02671875,2.0176,space,0.6175,0,14,14,52,1,60,image/60.jpg,1,2,Please drag the slider to around 2 to indicate that you are paying attention,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1.010572917,3.3544,space,1.2013,0,15,15,15,1,16,image/16.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.04609375,1.691,space,0.6365,0,16,16,41,1,42,image/42.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,1.961380208,1.7295,space,0.8865,0,17,17,46,1,47,image/47.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.005364583,1.9628,space,0.4035,0,18,18,23,1,24,image/24.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,3.031119792,1.852,space,0.5836,0,19,19,18,1,19,image/19.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.985260417,1.8057,space,0.5226,0,20,20,30,1,31,image/31.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
,,,,,,2.0290625,3.3081,space,0.4765,0,21,21,9,1,10,image/10.jpg,0,0,,R_1lh2G802tSwgxMU,2,2024-04-19_15h43.09.937,face trait task,2021.2.3,MacIntel,60.24096386,120217,,,,,,,
