chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[75,198,174,27,160,70,57,95,68,102,88,155,119,118,74,45,185,145,83,150,134,129,138,6,55,108,197,100,191,180,66,12,93,175,53,143,96,177,126,158,125,164]",R_1lh2G802tSwgxMU,space,10.1464,space,0.9869,space,0.502,space,0.3553,space,0.8175,space,12.176,space,6.3539,3,4.9181,3,12.9771,3,16.4394,2,13.9539,3,20.3467,0,0,0,0,1,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,14.297,space,29.0961,space,42.4296,space,45.792,space,14.6506,space,5.136,3,6.7308,1,7.5637,3,11.0454,2,15.495,1,3.7928,1,0,1,0,1,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,7.4558,space,0.4636,space,1.2103,space,1.8271,space,1.665,space,0.4695,3,3.0162,1,8.4833,3,5.1117,2,2.9778,1,15.6653,2,0,2,0,1,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.2461,space,0.4827,space,0.5328,space,0.8602,space,1.0329,space,0.6848,3,1.7782,1,1.4326,3,2.015,2,2.8285,3,4.0214,3,0,3,0,1,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8047,space,0.3825,space,0.3497,space,0.7217,space,2.8667,space,1.6669,3,1.3336,1,2.5143,3,1.4008,2,1.8656,2,4.3623,4,0,4,0,1,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,space,1.6028,[],0.091536458,0.266206597,0,0,0,0,0,0,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,"[""LeftButton_2""]",-0.243863932,-0.324904514,1,0,0,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,"[""LeftButton_2""]",-0.268207465,-0.350112847,1,0,0,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,0.324007161,-0.537994792,1,0,0,RightButton,"[""RightButton""]",,,,,,,49,10.5228,space,8.8335,68,13.3007,,,,,,0,0,0,0,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,0.318207465,-0.529192708,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,
