choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,57,60]",space,5.9215,space,7.8679,competent,2.971959918,5.9331,space,0.6456,0,0,0,24,1,25,image/25.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,2.031886889,2.848,space,0.2479,0,1,1,39,1,40,image/40.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,1.935665761,2.587,space,0.4624,0,2,2,13,1,14,image/14.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.020337976,1.5471,space,0.2375,0,3,3,23,1,24,image/24.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,4.045830503,2.0076,space,0.4221,0,4,4,26,1,27,image/27.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,4.002318274,1.7791,space,0.2026,0,5,5,9,1,10,image/10.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.007014266,2.3899,space,0.2011,0,6,6,32,1,33,image/33.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,4.573123302,3.5986,space,1.8019,0,7,7,44,1,45,image/45.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.454543139,1.7232,space,0.2542,0,8,8,31,1,32,image/32.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,2.539767323,2.9838,space,0.1635,0,9,9,46,1,47,image/47.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,6.00459409,3.318,space,1.214,0,10,10,7,1,8,image/8.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,5.518036685,2.3305,space,1.0263,0,11,11,5,1,6,image/6.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.967493207,3.4681,space,0.2795,0,12,12,36,1,37,image/37.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,4.561786685,1.9706,space,0.399,0,13,13,6,1,7,image/7.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,2.479976223,1.9639,space,0.2696,0,14,14,14,1,15,image/15.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.493265965,2.4166,space,0.3574,0,15,15,34,1,35,image/35.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.975518003,2.0929,space,0.1832,0,16,16,11,1,12,image/12.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.557871943,1.7204,space,0.6341,0,17,17,18,1,19,image/19.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,4.496289063,2.1629,space,0.3181,0,18,18,10,1,11,image/11.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
,,,,,,3.458721128,1.9103,space,0.59,0,19,19,12,1,13,image/13.jpg,0,0,,R_1lsKKVQpKnRQfFs,2,2024-05-14_13h21.57.983,face trait task,2021.2.3,MacIntel,59.88023952,120644,,,,,,,
