chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[169,102,54,114,37,185,154,20,157,104,88,202,187,127,195,173,82,139,138,171,95,50,141,161,60,78,4,76,125,67,31,149,100,116,85,61,147,180,124,158,118,53]",R_1lsKKVQpKnRQfFs,space,1.177,space,1.9724,space,4.0112,space,2.4223,space,1.1298,space,3.577,space,3.0231,3,4.3021,1,4.3736,1,7.2345,2,7.7541,3,3.9046,0,0,0,0,1,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.6894,space,6.54,space,0.999,space,1.6163,space,6.7984,space,1.549,3,3.3962,1,31.9779,3,4.4156,3,1.411,3,1.695,1,0,1,0,1,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4398,space,0.7529,space,2.3751,space,2.0317,space,2.4283,space,0.8924,3,0.9705,1,1.2766,2,8.5429,2,2.9816,2,7.1786,2,0,2,0,1,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.002,space,0.4504,space,0.9459,space,0.7506,space,1.812,space,0.9827,3,1.3977,1,0.801,3,8.2653,2,8.4316,2,4.9119,3,0,3,0,1,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,space,1.9703,"[""RightButton_2""]",0.273777636,-0.293384851,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,"[""RightButton_2""]",0.207684949,-0.308075747,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,"[""RightButton_2""]",0.265215774,-0.316584579,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.251615646,-0.532336957,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,10,6.3725,space,0.8854,11,8.5418,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268734056,-0.496441916,1,0,0,LeftButton,"[""LeftButton""]",10,4.7385,space,,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,0.8385,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254969175,-0.513552989,1,0,0,LeftButton,"[""LeftButton""]",11,2.9091,space,,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.8479,,
