choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,51,52]",space,6.653,space,16.2604,competent,6.976536458,15.4347,space,13.413,0,0,0,36,1,37,image/37.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,6.053828125,2.9283,space,0.3532,0,1,1,5,1,6,image/6.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,5.991692708,2.3289,space,0.5826,0,2,2,8,1,9,image/9.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,1.019791667,3.471,space,0.3563,0,3,3,52,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,3.843229167,3.7452,space,1.4473,0,4,4,32,1,33,image/33.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,6.974270833,2.1287,space,0.3479,0,5,5,20,1,21,image/21.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,6.972291667,2.895,space,0.3942,0,6,6,44,1,45,image/45.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,6.5528125,2.6797,space,1.4148,0,7,7,4,1,5,image/5.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,4.949427083,1.8809,space,0.6906,0,8,8,30,1,31,image/31.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,5.927578125,1.6521,space,0.5149,0,9,9,35,1,36,image/36.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,5.991979167,2.1137,space,0.427,0,10,10,15,1,16,image/16.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,6.577630208,1.4806,space,0.4342,0,11,11,23,1,24,image/24.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
,,,,,,6.263958333,1.6483,space,0.4522,0,12,12,25,1,26,image/26.jpg,0,0,,R_1m1uzN8R2BXv7GO,2,2024-05-21_02h04.14.707,face trait task,2021.2.3,MacIntel,30.39513678,120461,,,,,,,
