chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt
"[33,128,184,140,59,104,189,82,119,48,176,167,102,144,36,150,142,80,193,124,51,103,84,88,79,85,152,125,112,156,0,183,69,63,199,21,133,164,64,170,173,118]",R_1m1uzN8R2BXv7GO,space,1.651,space,6.6032,space,10.7372,space,20.7788,space,40.2243,space,9.4914,space,9.4178,3,8.6526,1,8.1813,3,8.7088,2,11.5229,2,6.4582,0,0,0,0,1,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,space,4.5076,"[""RightButton_2""]",0.284076606,-0.25859375,1,0,0,RightButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,"[""LeftButton_2""]",-0.252652995,-0.328324653,1,0,0,LeftButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,"[""LeftButton_2""]",-0.314854601,-0.293151042,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.353569878,-0.543567708,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,2,RandomDot25.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267632378,-0.494513889,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,9.7487,space,4,13.6674,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,2.9581,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.274072266,-0.503888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,10.12205387,6.1119,space,60.18814447,10.6087,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,1.3017,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.316281467,-0.498072917,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,49.39389555,7.5142,space,49.11111988,8.6478,0,3,3,3,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.7118,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.256651476,-0.534817708,1,0,0,LeftButton,"[""LeftButton""]",58,3.1166,space,,,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,1.6999,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m1uzN8R2BXv7GO,1,2024-05-21_01h48.57.514,interaction task,2021.2.3,MacIntel,30.12048193,120461,,,,,,,,,,,,,,,,,Smaller,Greater,,0.345155165,-0.506501736,1,0,0,RightButton,"[""RightButton""]",1,4.0631,space,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,1.1163,
