chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[149,86,142,8,185,77,124,144,102,120,107,156,136,130,76,87,26,170,19,60,191,114,83,168,189,54,178,55,165,101,133,152,92,162,201,67,116,44,110,66,193,58]",R_1m9l4nPkPn7qKin,space,1.1782,space,1.4849,space,1.5995,space,3.9196,space,2.7324,space,3.258,space,3.2551,2,7.8855,3,7.3531,2,12.2157,2,8.235,3,2.7103,0,0,0,0,1,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.3746,space,9.324,space,13.6006,space,9364.6534,space,8.1543,space,1.6998,1,5.0448,1,5.9519,2,7.4292,1,30.208,2,4.0265,1,0,1,0,1,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.4181,space,4.4926,space,4.1154,space,0.5384,space,1.1131,space,0.9833,3,2.1974,1,2.5804,3,5.5818,1,3.5041,2,2.1982,2,0,2,0,1,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,7.0283,space,103.5331,space,7.1554,space,0.5859,space,12.2821,space,3.5142,3,1.711,1,1.6628,3,2.2297,3,1.4,2,1.5842,3,0,3,0,1,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,35.721,space,0.5355,space,0.3817,space,0.2294,space,5.2985,space,1.917,3,1.483,1,1.0651,3,1.581,2,5.7313,2,0.8954,4,0,4,0,1,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,space,3.4518,"[""LeftButton_2""]",-0.280609809,-0.349339883,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,"[""LeftButton_2""]",-0.328781467,-0.332136824,1,0,0,LeftButton_2,0,1,1,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,"[""LeftButton_2""]",-0.267057292,-0.340104908,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.311376953,-0.491354018,1,0,0,RightButton,"[""RightButton""]",1,3.7051,space,1.2673,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233213976,-0.476907006,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.13630664,10.4852,space,22.53130261,15.1157,0,1,1,1,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,1.8339,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.36226671,-0.499466572,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,27.18504489,8.8713,space,39.7959631,14.7667,0,2,2,2,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,2.2688,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295735677,-0.515224929,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,,,,,,
