choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,57,55]",space,7.2176,space,15.5415,critical,2.979668499,9.3455,space,1.0866,0,0,0,19,1,20,image/20.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,1.726957145,6.3866,space,0.5661,0,1,1,4,1,5,image/5.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,1.389645697,3.2229,space,0.3901,0,2,2,11,1,12,image/12.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,2.260976964,2.4764,space,0.3437,0,3,3,12,1,13,image/13.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,4.06812003,3.9686,space,0.2727,0,4,4,14,1,15,image/15.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,5.007680952,3.0338,space,0.3139,0,5,5,43,1,44,image/44.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,3.284027128,1.9862,space,0.1685,0,6,6,29,1,30,image/30.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,6.070349041,2.216,space,1.2016,0,7,7,45,1,46,image/46.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,6.070349041,2.7898,space,1.3402,0,8,8,10,1,11,image/11.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,5.314100503,2.6707,space,0.7066,0,9,9,28,1,29,image/29.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,5.99975152,2.8201,space,1.1073,0,10,10,36,1,37,image/37.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,5.98457963,3.1361,space,0.7847,0,11,11,41,1,42,image/42.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,5.98457963,2.1219,space,1.5502,0,12,12,1,1,2,image/2.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,4.002674813,1.8774,space,2.1043,0,13,13,26,1,27,image/27.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,4.00144703,2.6093,space,0.8408,0,14,14,3,1,4,image/4.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,6.150352257,5.1433,space,3.856,0,15,15,16,1,17,image/17.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,4.824324719,2.637,space,0.723,0,16,16,20,1,21,image/21.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,3.91021837,2.3617,space,1.0702,0,17,17,22,1,23,image/23.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,6.984959659,2.7365,space,0.8874,0,18,18,30,1,31,image/31.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,4.027756665,2.3535,space,0.8725,0,19,19,18,1,19,image/19.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,3.532412009,2.7956,space,1.1888,0,20,20,35,1,36,image/36.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,4.989329981,3.9817,space,0.3507,0,21,21,25,1,26,image/26.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,3.604237313,1.8134,space,0.9866,0,22,22,7,1,8,image/8.jpg,0,0,,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
,,,,,,6.991909787,5.0567,space,0.8981,0,23,23,51,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1q8WSTNQENILdNT,2,2024-05-29_10h20.30.749,face trait task,2021.2.3,MacIntel,60.24096386,120827,,,,,,,
