chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_share.rt
"[127,151,179,141,90,171,172,152,123,185,2,142,100,167,53,97,62,128,85,65,26,200,134,153,159,197,92,181,48,68,76,13,188,83,38,110,82,158,117,107,112,49]",R_1q8WSTNQENILdNT,space,1.2247,space,3.2109,space,10.7475,space,12.1835,space,2.6078,space,5.6165,space,1.4414,2,11.2297,1,8.7145,3,9.2602,1,9.5937,3,7.4352,0,0,0,0,1,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.4338,space,12.7053,space,18.4326,space,21.8714,space,1.8487,space,0.8756,3,4.1827,1,7.1331,3,6.7633,3,7.6024,2,22.9668,1,0,1,0,1,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0015,space,0.4649,space,0.3406,space,0.1924,space,0.7869,space,0.3725,3,2.4024,1,2.0544,3,4.7736,2,27.2549,2,6.3764,2,0,2,0,1,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,space,2.5685,"[""RightButton_2""]",0.312248721,-0.31589102,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,"[""LeftButton_2""]",-0.215396564,-0.297189254,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,"[""LeftButton_2""]",-0.273912646,-0.331625643,1,0,0,LeftButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,-0.277905702,-0.535247603,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,59,15.3279,space,3.7421,3,27.2314,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,0.246194262,-0.535474158,1,0,0,RightButton,"[""RightButton""]",60,6.6767,space,,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,0.8398,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.286800987,-0.532302385,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,4.0718,space,0.8551,50,9.8427,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,0.31136239,-0.494686915,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,70.40092076,5.5193,space,20.78607715,8.302,0,3,3,3,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.2988,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.230953034,-0.469612371,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.89190147,4.5512,space,19.50222252,7.1058,0,4,4,4,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,0.3402,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25525402,-0.511013506,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,3.7068,space,1.207,64,8.2838,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.279148392,-0.483571094,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,3.2733,space,1.6224,68,7.3805,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273044591,-0.457429549,1,0,0,LeftButton,"[""LeftButton""]",96,3.6596,space,,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,2.971,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.274648209,-0.514419142,1,0,0,RightButton,"[""RightButton""]",,,,,,,77,4.0541,space,0.3436,56,7.9272,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.202974232,-0.512087816,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,41.49204029,7.2069,space,65.21427728,11.5508,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,0.3008,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.364163012,-0.469875468,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.28916758,-0.479025374,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,72.00412384,4.2013,space,28.58703999,6.6028,0,11,11,11,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,2.1951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281236294,-0.47813377,1,0,0,RightButton,"[""RightButton""]",65,3.2446,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,1.2352,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266036184,-0.514148737,1,0,0,LeftButton,"[""LeftButton""]",,,,4.957510965,6.5588,space,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,0.871
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.266273757,-0.464606232,1,0,0,RightButton,"[""RightButton""]",55,4.9659,space,,,,,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,2.8016,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25951663,-0.477337173,1,0,0,LeftButton,"[""LeftButton""]",53,5.0564,space,,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,0.621,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276612756,-0.494292271,1,0,0,LeftButton,"[""LeftButton""]",,,,4.983187135,4.183,space,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,2.828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.250717288,-0.519206034,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,58,4.1137,space,1.2082,32,7.6474,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334662829,-0.519213342,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,76.95679382,3.6912,space,18.91798098,6.1494,0,18,18,18,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,0.1772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1q8WSTNQENILdNT,1,2024-05-29_10h02.43.742,interaction task,2021.2.3,MacIntel,59.52380952,120827,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3711303,-0.503676041,1,0,0,RightButton,"[""RightButton""]",,,,4.949789839,6.0854,space,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,0.7211
