choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,51,60]",space,5.6805,space,2.1985,trustworthy,3.938961646,4.9243,space,0.8602,0,0,0,30,1,31,image/31.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.154079455,2.6213,space,0.7631,0,1,1,48,1,49,image/49.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.99516195,1.4015,space,0.3199,0,2,2,49,1,50,image/50.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.410459542,1.8116,space,0.4384,0,3,3,47,1,48,image/48.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.410605706,1.7577,space,0.1634,0,4,4,27,1,28,image/28.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.478952292,1.6502,space,0.6146,0,5,5,17,1,18,image/18.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.277442411,2.317,space,0.1112,0,6,6,0,1,1,image/1.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.08147217,3.7962,space,0.6994,0,7,7,35,1,36,image/36.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,6.025425339,3.4459,space,0.3695,0,8,8,19,1,20,image/20.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,6.497179022,2.8179,space,1.07,0,9,9,13,1,14,image/14.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,6.05386167,1.6584,space,1.2414,0,10,10,6,1,7,image/7.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.22019703,2.2786,space,0.9746,0,11,11,16,1,17,image/17.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.825289406,3.4567,space,1.9811,0,12,12,1,1,2,image/2.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,7,6.162,space,1.081,0,13,13,52,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.417935863,2.2008,space,0.4054,0,14,14,15,1,16,image/16.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.544675222,5.2032,space,0.0172,0,15,15,24,1,25,image/25.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,2.545712991,1.9172,space,1.0973,0,16,16,38,1,39,image/39.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.25566388,4.6459,space,1.5443,0,17,17,45,1,46,image/46.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.68233308,2.7064,space,1.2874,0,18,18,10,1,11,image/11.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,1.931689956,2.5492,space,0.6026,0,19,19,40,1,41,image/41.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,6.028144001,2.1984,space,0.6796,0,20,20,34,1,35,image/35.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.875665049,3.1363,space,0.5984,0,21,21,21,1,22,image/22.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.198688903,1.915,space,0.6651,0,22,22,11,1,12,image/12.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.476986377,4.0039,space,2.747,0,23,23,18,1,19,image/19.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,1,4.9786,space,0.4863,0,24,24,51,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,1,2.3444,space,0.3348,0,25,25,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,2.596293265,2.9873,space,1.3725,0,26,26,39,1,40,image/40.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.547854303,2.7395,space,1.3123,0,27,27,23,1,24,image/24.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.389806478,1.8707,space,2.1512,0,28,28,41,1,42,image/42.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.504099918,4.5186,space,2.479,0,29,29,20,1,21,image/21.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.487751403,3.5923,space,0.2881,0,30,30,29,1,30,image/30.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.031637336,3.6854,space,0.9814,0,31,31,2,1,3,image/3.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.380583489,2.6041,space,0.629,0,32,32,33,1,34,image/34.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,2.871338576,3.6014,space,0.2822,0,33,33,42,1,43,image/43.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.078585419,2.5082,space,0.1546,0,34,34,44,1,45,image/45.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.339006957,2.3676,space,0.269,0,35,35,32,1,33,image/33.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,5.124013389,5.4804,space,0.1835,0,36,36,43,1,44,image/44.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,3.343859623,4.6678,space,0.1333,0,37,37,46,1,47,image/47.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
,,,,,,4.019973398,13.0249,space,0.0782,0,38,38,9,1,10,image/10.jpg,0,0,,R_1siyZPsGPt63FbT,2,2024-05-22_21h39.41.924,face trait task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,
