chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[147,53,182,149,122,11,141,160,86,60,110,192,18,65,81,165,177,91,186,49,80,162,114,138,64,79,126,201,175,101,136,100,190,45,56,168,115,153,85,123,29,106]",R_1siyZPsGPt63FbT,space,1.697,space,3.7577,space,6.8017,space,15.3996,space,2.1664,space,9.1393,space,4.8565,2,3.1186,1,8.8629,3,3.7896,3,10.5672,1,1.6634,0,0,0,0,1,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.01,space,5.6232,space,0.3344,space,0.1398,space,0.7477,space,0.2022,3,1.7972,1,2.917,3,2.9529,2,1.3093,3,7.7436,1,0,1,0,1,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0366,space,0.562,space,1.6918,space,30.7948,space,0.3031,space,0.1309,3,1.5174,1,1.8562,3,1.4761,2,3.4096,2,1.8338,2,0,2,0,1,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,space,0.9016,"[""LeftButton_2""]",-0.250223867,-0.329096995,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,"[""RightButton_2""]",0.269892178,-0.303474333,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,"[""LeftButton_2""]",-0.241004203,-0.288163587,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.307291667,-0.52199047,1,0,0,LeftButton,"[""LeftButton""]",41,3.9693,space,2.4407,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.357899306,-0.498362956,1,0,0,LeftButton,"[""LeftButton""]",31,1.5625,space,1.0662,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252585892,-0.522670136,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,28.72502437,2.9786,space,49.56804891,6.2302,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,1.2219,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1siyZPsGPt63FbT,1,2024-05-22_21h25.54.011,interaction task,2021.2.3,MacIntel,59.88023952,120719,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269915022,-0.505064605,1,0,0,RightButton,"[""RightButton""]",51,1.5704,space,0.4518,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,
