chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[101,100,96,16,12,20,180,187,191,74,82,73,152,147,154,115,110,119,122,126,124,117,111,119,187,180,186,91,90,89,120,121,122,180,183,191,98,101,99,7,3,1,168,178,169,53,52,50,197,200]",R_21BWPLE20uoyM7G,space,75.1012,space,10.7271,space,38.9412,space,150.5252,space,150.3639,space,22.2767,space,5.9903,3,19.9654,2,17.4376,2,17.3649,2,5.76,3,11.8495,0,0,0,0,1,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.1996,space,1.0654,space,0.273,space,0.3952,space,0.6152,space,0.1971,3,2.0538,1,16.356,2,4.5857,2,4.8008,2,5.1888,1,0,1,0,1,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.518,space,0.1508,space,0.1495,space,0.1282,space,2.4389,space,0.4929,3,1.4021,1,3.1603,3,12.3878,2,3.7376,2,1.3348,2,0,2,0,1,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,space,4.7684,"[""LeftButton_2""]",-0.290625,-0.325,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.30625,-0.337963019,1,0,0,RightButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.308333397,-0.275,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.300520802,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",10,14.4578,space,8.3661,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.263541651,-0.499074131,1,0,0,LeftButton,"[""LeftButton""]",12,5.7022,space,8.9667,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.271354198,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.35606061,7.713,space,19.90740901,12.3965,0,2,2,7,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,3.4345,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296354198,-0.495370483,1,0,0,RightButton,"[""RightButton""]",,,,,2.091145992,11.8557,space,,,,,,,,,,,0,3,3,17,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,1.6762,,,,,,,
