choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,52,53]",space,0.957,space,0.614,trustworthy,4.130434783,3.145,space,0.45,0,0,0,16,1,17,image/17.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,4.404347826,2.482,space,0.597,0,1,1,25,1,26,image/26.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.852173913,1.91,space,0.421,0,2,2,39,1,40,image/40.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.741304348,1.492,space,0.131,0,3,3,42,1,43,image/43.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.760869565,1.993,space,1.109,0,4,4,49,1,50,image/50.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,1.932608696,2.796,space,0.141,0,5,5,38,1,39,image/39.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.519565217,1.633,space,1.185,0,6,6,46,1,47,image/47.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.389130435,1.721,space,0.331,0,7,7,30,1,31,image/31.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,3.739130435,2.008,space,0.368,0,8,8,5,1,6,image/6.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,3.563043478,1.469,space,0.296,0,9,9,34,1,35,image/35.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,4.019565217,2.166,space,0.274,0,10,10,24,1,25,image/25.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,1.873913043,2.027,space,0.353,0,11,11,36,1,37,image/37.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,4.032608696,2.357,space,0.175,0,12,12,41,1,42,image/42.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,4.032608696,0.975,space,0.109,0,13,13,17,1,18,image/18.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,4.058695652,1.186,space,0.865,0,14,14,35,1,36,image/36.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,3.315217391,1.616,space,0.353,0,15,15,18,1,19,image/19.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,3.32173913,1.171,space,0.357,0,16,16,23,1,24,image/24.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,4.313043478,3.922,space,2.492,0,17,17,6,1,7,image/7.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.57173913,2.702,space,0.457,0,18,18,40,1,41,image/41.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.493478261,2.508,space,0.421,0,19,19,47,1,48,image/48.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,3.413043478,1.867,space,0.245,0,20,20,7,1,8,image/8.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,3.413043478,1.011,space,0.322,0,21,21,8,1,9,image/9.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.513043478,2.212,space,0.075,0,22,22,14,1,15,image/15.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.447826087,1.901,space,0.377,0,23,23,44,1,45,image/45.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.989130435,3.607,space,0.212,0,24,24,1,1,2,image/2.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.447826087,2.365,space,0.845,0,25,25,37,1,38,image/38.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.963043478,3.803,space,1.768,0,26,26,33,1,34,image/34.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.969565217,1.372,space,0.325,0,27,27,27,1,28,image/28.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,2.969565217,1.169,space,0.517,0,28,28,0,1,1,image/1.jpg,0,0,,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,6.817391304,3.925,space,0.408,0,29,29,50,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
,,,,,,1.084782609,6.134,space,3.855,0,30,30,52,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_23fCGTf5Bw4sfo3,2,2024-05-14_14h38.43.566,face trait task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,
