choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,50,50]",space,54.7483,space,55.1719,competent,3.026673991,12.7689,space,3.3919,0,0,0,44,1,45,image/45.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,1.976690877,6.4556,space,0.825,0,1,1,39,1,40,image/40.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,2.999657796,5.8179,space,0.9172,0,2,2,49,1,50,image/50.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,2.004613241,2.6557,space,0.7541,0,3,3,9,1,10,image/10.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,4.995329997,15.3698,space,0.5004,0,4,4,47,1,48,image/48.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,1.004253743,8.425,space,0.8766,0,5,5,12,1,13,image/13.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,1.98245341,2.427,space,0.4246,0,6,6,11,1,12,image/12.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,6.969640299,6.2356,space,0.3464,0,7,7,30,1,31,image/31.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,2.018875326,3.6554,space,0.3318,0,8,8,17,1,18,image/18.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
,,,,,,6.026669108,2.0899,space,0.3743,0,9,9,38,1,39,image/39.jpg,0,0,,R_2D6PXoNGiJXqobD,2,2024-04-16_15h40.26.352,face trait task,2021.2.3,MacIntel,62.89308176,120541,,,,,,,
