chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
"[146,163,66,198,183,187,115,52,189,48,172,161,130,106,178,171,196,132,149,58,71,17,141,2,167,72,147,142,119,83,92,90,129,122,98,43,86,76,61,102,117,27]",R_2KryIkmTCOb6eUU,space,9.455,space,2.808,space,2.527,space,41.915,space,11.95,space,4.654,space,3.427,1,21.527,1,8.57,2,14.976,2,9.141,3,3.85,0,0,0,0,1,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,15.83,space,26.04,space,27.158,space,23.282,space,18.448,space,3.4,3,6.854,1,5.412,3,5.847,2,5.358,2,6.724,1,0,1,0,1,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,space,7.65,[],0.263945578,-0.37173913,0,0,0,0,0,0,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,"[""RightButton_2""]",0.273469388,-0.330434783,1,0,0,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,"[""LeftButton_2""]",-0.296598639,-0.276086957,1,0,0,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,0.4,0.234013605,-0.491304348,1,0,0,RightButton,"[""RightButton""]",70,5.092,space,2.176,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.306122449,-0.493478261,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.996598639,11.232,space,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,1.883,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.288435374,-0.515217391,1,0,0,RightButton,"[""RightButton""]",,,,,3.037414966,6.686,space,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,1.727,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.315646259,-0.504347826,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.272108844,-0.52173913,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,31.4471243,4.984,space,65.66687281,8.442,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,1.359,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.282993197,-0.532608696,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,29.7979798,2.746,space,71.16402116,4.32,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,1.038,
