choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]",space,4.2446,space,2.1064,critical,2.022222307,9.7056,space,3.4308,0,0,0,14,1,15,image/15.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,1,4.7398,space,2.1335,0,1,1,50,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,2.088889016,4.5812,space,1.2533,0,2,2,16,1,17,image/17.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.005555471,3.5595,space,0.8977,0,3,3,3,1,4,image/4.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.072222392,2.5726,space,0.933,0,4,4,44,1,45,image/45.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5,3.7672,space,2.0882,0,5,5,4,1,5,image/5.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.911111196,6.9986,space,0.9376,0,6,6,10,1,11,image/11.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.055555556,3.3439,space,1.1802,0,7,7,35,1,36,image/36.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.055555556,5.0184,space,0.7716,0,8,8,34,1,35,image/35.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.994444953,3.432,space,0.856,0,9,9,17,1,18,image/18.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,6.994444953,5.5345,space,0.8302,0,10,10,45,1,46,image/46.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,3.972222222,2.0238,space,0.807,0,11,11,2,1,3,image/3.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.077777863,1.6459,space,0.8747,0,12,12,7,1,8,image/8.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.050000085,1.0398,space,0.4014,0,13,13,33,1,34,image/34.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,3.038889143,1.897,space,0.4721,0,14,14,43,1,44,image/44.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.994444529,2.1715,space,1.2645,0,15,15,13,1,14,image/14.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,6.011110942,1.4675,space,0.4373,0,16,16,27,1,28,image/28.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,6.033333672,3.3315,space,1.1831,0,17,17,24,1,25,image/25.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.033333249,2.112,space,1.1257,0,18,18,46,1,47,image/47.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,3.022222307,2.1681,space,0.3935,0,19,19,40,1,41,image/41.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,6.077778286,2.4437,space,0.5763,0,20,20,21,1,22,image/22.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.138888889,1.7223,space,0.4906,0,21,21,32,1,33,image/33.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,1,3.6079,space,1.8156,0,22,22,51,1,52,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.994444529,2.3633,space,0.8284,0,23,23,0,1,1,image/1.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.983333588,0.9822,space,0.4185,0,24,24,38,1,39,image/39.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.944444444,1.6264,space,0.3544,0,25,25,47,1,48,image/48.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,6.083333333,1.693,space,0.3881,0,26,26,9,1,10,image/10.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.238889058,2.0964,space,1.7412,0,27,27,1,1,2,image/2.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,3.544444614,1.329,space,0.6299,0,28,28,11,1,12,image/12.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,1,2.8581,space,1.3283,0,29,29,52,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,4.961111281,1.8902,space,0.4308,0,30,30,41,1,42,image/42.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.238889058,3.8399,space,3.1904,0,31,31,28,1,29,image/29.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.905555725,1.1979,space,0.4234,0,32,32,42,1,43,image/43.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
,,,,,,5.877777947,0.89,space,0.3374,0,33,33,29,1,30,image/30.jpg,0,0,,R_2KyfqZxEJXtBkzL,2,2024-05-12_11h19.06.396,face trait task,2021.2.3,Win32,59.88023952,120416,,,,,,,
