chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
"[92,71,127,109,95,112,129,97,190,81,138,58,172,78,139,164,147,84,61,144,65,137,111,198,157,196,186,57,77,179,20,25,100,126,36,0,171,56,149,166,185,101]",R_2KyfqZxEJXtBkzL,space,0.6351,space,0.4597,space,0.3744,space,0.4398,space,0.5373,space,0.5982,space,0.3229,3,0.8569,1,1.8295,3,1.0863,2,0.6655,2,0.2779,0,0,0,0,1,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,space,0.6077,"[""LeftButton_2""]",-0.229166667,-0.316666638,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,"[""LeftButton_2""]",-0.288541635,-0.305555556,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,"[""RightButton_2""]",0.200000048,-0.288888861,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.287499984,-0.518518519,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,12.33165063,5.0091,space,0.4224,10.43771204,6.7516,0,0,0,0,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315624952,-0.544444473,1,0,0,LeftButton,"[""LeftButton""]",,,,1.015625,7.6933,space,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,1.1901,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.239583333,-0.466666751,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,10,3.8295,space,10,5.0592,,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,1.0086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276041667,-0.518518519,1,0,0,RightButton,"[""RightButton""]",,,,0,1.7501,space,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,0.6104,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.251041651,-0.514814871,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,9.490740741,1.9325,space,0.907,9.701179254,2.9126,0,4,4,4,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.226041714,-0.542592649,1,0,0,RightButton,"[""RightButton""]",,,,0.979166826,5.6096,space,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,1.6538,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.258333286,-0.516666695,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,9,1.8984,space,10,2.8021,,,,,,,0,6,6,6,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,0.6497,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.350000064,-0.542592649,1,0,0,RightButton,"[""RightButton""]",10,1.671,space,,,,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,0.7784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.242708365,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.79377425,3.6472,space,1.0861,0.547138047,9.753,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292708317,-0.501851824,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,31,2.124,space,9,4.7584,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,0.4884,
