chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[138,80,64,183,173,61,153,161,159,150,100,110,95,203,111,158,56,28,113,58,17,45,125,188,75,91,104,140,85,11,53,169,182,146,120,67,130,107,194,177,132,82]",R_2M3BSrq6ZzSs0t3,space,1.3148,space,1.6491,space,11.2004,space,10.2023,space,13.462,space,14.1458,space,0.8293,2,8.5344,1,9.0078,2,8.9717,2,5.0927,2,1.732,0,0,0,0,1,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0949,space,6.1486,space,4.8658,space,0.7334,space,4.7486,space,0.3336,3,2.3839,3,6.2994,3,4.2666,2,1.3351,2,0.4008,1,0,1,0,1,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0535,space,0.0589,space,0.1177,space,0.1679,space,0.0379,space,0.1021,3,2.7666,2,2.7696,3,4.0015,2,1.1181,2,0.808,2,0,2,0,1,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.218,space,9.7842,space,5.3343,space,0.4856,space,1.2839,space,0.8229,3,1.3719,1,2.0002,3,2.7048,2,1.7194,2,0.4549,3,0,3,0,1,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,space,3.1073,[],0.077009413,-0.378882378,0,0,0,0,0,0,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,"[""RightButton_2""]",0.269600169,-0.323141547,1,0,0,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,"[""RightButton_2""]",0.265238529,-0.290784641,1,0,0,0,2,2,1,1,RightButton_2,9dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,0.274435679,-0.531754557,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,7.3976,space,1.8167,0,13.4981,0,0,0,0,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,0.327114275,-0.507010227,1,0,0,RightButton,"[""RightButton""]",,,,,,,35,8.1717,space,80,15.8168,,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,4.1835,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.271829987,-0.508898926,1,0,0,LeftButton,"[""LeftButton""]",,,,4.997751024,7.7382,space,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,1.2995,,,,,,,
