chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,key_share.rt
"[41,8,134,82,19,135,100,58,85,165,153,124,56,107,136,119,60,177,148,68,198,174,189,91,154,196,130,190,34,86,105,172,61,79,115,74,181,57,112,162,127,161]",R_2Pz1ESHNLhmVqlq,space,2.0153,space,3.1234,space,23.6213,space,50.0077,space,8.8793,space,7.0696,space,0.9299,3,29.4141,2,10.3281,3,16.1254,1,26.4164,3,13.4879,0,0,0,0,1,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.6472,space,1.5677,space,0.5956,space,0.5931,space,3.4135,space,0.6188,3,2.4113,2,11.7173,3,2.5111,2,6.8466,1,6.3186,1,0,1,0,1,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6877,space,0.3041,space,0.288,space,0.2616,space,13.1989,space,0.851,3,1.2706,1,3.2999,3,1.499,2,3.298,2,3.635,2,0,2,0,1,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,space,1.2738,"[""LeftButton_2""]",-0.261876085,-0.261111111,1,0,0,LeftButton_2,0,0,0,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,"[""LeftButton_2""]",-0.235617405,-0.269210069,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,"[""LeftButton_2""]",-0.355750868,-0.339661458,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.285243056,-0.533385417,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.242149523,-0.474409722,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.201188151,-0.500590278,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.29174558,17.6045,space,0.242989794,15.3947,0,2,2,2,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,3.3179,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.304237196,-0.518151042,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,7.3805,space,70,17.2833,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,7.2337,,
