key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,15.5925,space,13.3002,2.974895669,5.269,space,2.8303,0,0,0,12,1,13,image/13.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.059618273,2.7425,space,0.8833,0,1,1,13,1,14,image/14.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.358685006,2.4331,space,2.3743,0,2,2,41,1,42,image/42.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.029594497,2.6495,space,0.8984,0,3,3,17,1,18,image/18.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.029594497,1.5864,space,0.8224,0,4,4,21,1,22,image/22.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,4.148049626,6.7362,space,5.8336,0,5,5,18,1,19,image/19.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,2.588841621,2.5213,space,0.8493,0,6,6,7,1,8,image/8.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.444891453,4.8958,space,0.3289,0,7,7,28,1,29,image/29.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.624800082,3.4213,space,0.2993,0,8,8,42,1,43,image/43.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.771717593,2.9064,space,0.3162,0,9,9,43,1,44,image/44.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,2.420177281,2.1135,space,0.5672,0,10,10,6,1,7,image/7.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,6.393159623,2.8693,space,0.4325,0,11,11,47,1,48,image/48.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.208761377,7.3028,space,0.4223,0,12,12,11,1,12,image/12.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,2.79498704,2.7712,space,0.3684,0,13,13,40,1,41,image/41.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,3.282239349,3.8606,space,0.3753,0,14,14,22,1,23,image/23.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,5.793464422,2.0878,space,0.6525,0,15,15,0,1,1,image/1.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
,,,,1.857962815,2.7746,space,0.6547,0,16,16,32,1,33,image/33.jpg,0,R_2dZ82kJ2ybI5Wiu,2,2024-04-09_14h22.06.170,face trait task,2021.2.3,Win32,60.60606061,SONAid,,,,,,,
