chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
"[155,59,60,119,27,167,95,185,16,138,65,172,2,161,158,101,137,173,53,194,84,97,51,174,152,81,180,107,109,44,68,86,79,131,147,203,113,187,72,129,136,126]",R_2dZ82kJ2ybI5Wiu,space,1.7797,space,45.7734,space,12.3851,space,10.4235,space,22.7908,space,6.0178,space,0.8511,3,10.2748,1,4.6831,3,10.8819,3,7.8513,2,2.7171,0,0,0,0,1,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.7337,space,0.2937,space,0.2233,space,0.1005,space,2.05,space,0.4769,3,2.7863,1,2.7502,3,4.9181,2,1.8816,2,0.6183,1,0,1,0,1,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,space,3.5508,"[""LeftButton_2""]",-0.349345783,-0.298344306,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,"[""LeftButton_2""]",-0.297012302,-0.303342782,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,"[""LeftButton_2""]",-0.282171427,-0.305841963,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,0.270845633,-0.507029053,1,0,0,RightButton,"[""RightButton""]",24,7.6285,space,2.2205,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257957383,-0.489534559,1,0,0,LeftButton,"[""LeftButton""]",3,2.3372,space,1.168,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.242726125,-0.495782568,1,0,0,RightButton,"[""RightButton""]",,,,,3.029089988,12.7658,space,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.6059,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.246240921,-0.45704475,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.018156955,2.6686,space,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.9498,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285686437,-0.537019681,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301698887,-0.504529873,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.013080579,3.2369,space,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,1.1508,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,0.305213825,-0.499531396,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.76027137,5.2708,space,19.35382695,8.8011,0,6,6,6,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,1.0049,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.319273579,-0.50577952,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,30.16084001,3.0122,space,40.41567462,5.1944,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,0.5827,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.238820591,-0.517026006,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297793352,-0.522024367,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,93.97745443,3.9041,space,2.709443047,5.8967,0,9,9,9,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,0.8446,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.354032368,-0.54076851,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.974814355,4.0373,space,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,0.9232,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302870533,-0.507029053,1,0,0,RightButton,"[""RightButton""]",,,,,,,,9,4.4026,space,51,7.3305,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.5718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.223979787,-0.50577952,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.235305581,-0.483286549,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.997852311,3.8867,space,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,0.4839,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273969975,-0.489534559,1,0,0,RightButton,"[""RightButton""]",,,,,3.985747746,2.2674,space,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,0.2504,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258738504,-0.475788892,1,0,0,LeftButton,"[""LeftButton""]",0,4.3884,space,0.8498,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.258347979,-0.533270853,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,98.23715396,3.2373,space,4.76041069,5.7163,0,16,16,16,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.8502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.227104129,-0.520774834,1,0,0,RightButton,"[""RightButton""]",,,,,,,,4,2.6049,space,45,4.5881,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,0.5511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,0.241163883,-0.488284911,1,0,0,RightButton,"[""RightButton""]",13,3.7036,space,2.8673,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.298574473,-0.490784206,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2dZ82kJ2ybI5Wiu,1,2024-04-09_14h05.41.289,interaction task,2021.2.3,Win32,58.82352941,120218,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307947643,-0.487035378,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,83.40708412,5.1187,space,21.72032668,6.6663,0,20,20,20,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,0.5339,
