choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,51,59]",space,15.1903,space,5.4817,competent,3.518005262,6.4958,space,1.0861,0,0,0,8,1,9,image/9.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,4.565636662,3.5523,space,0.2375,0,1,1,3,1,4,image/4.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,4.004533168,2.0276,space,0.4716,0,2,2,32,1,33,image/33.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,5.389014544,1.8442,space,0.2687,0,3,3,33,1,34,image/34.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,3.511081587,2.2436,space,0.2357,0,4,4,37,1,38,image/38.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,6.016135733,4.628,space,2.7234,0,5,5,17,1,18,image/18.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,5.426742772,1.4282,space,0.226,0,6,6,13,1,14,image/14.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,3.535713523,2.495,space,0.4534,0,7,7,40,1,41,image/41.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,3.52365897,2.794,space,0.2676,0,8,8,27,1,28,image/28.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
,,,,,,3.411215864,1.5119,space,0.2371,0,9,9,0,1,1,image/1.jpg,0,0,,R_2ewvKYOw2lIyB6E,2,2024-04-16_16h12.46.623,face trait task,2021.2.3,MacIntel,62.5,120778,,,,,,,
