chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[124,23,53,116,180,57,171,99,83,67,186,27,134,179,69,50,75,40,160,127,111,158,133,193,107,188,73,0,96,141,145,173,90,114,157,86,122,71,151,199,94,147]",R_2ewvKYOw2lIyB6E,space,1.0903,space,0.8818,space,3.6841,space,1.8814,space,3.9116,space,4.2775,space,1.8151,3,3.8607,1,11.2973,3,13.2424,2,7.3173,2,2.7047,0,0,0,0,1,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,space,4.2675,"[""RightButton_2""]",0.274701391,-0.302254922,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,"[""RightButton_2""]",0.273610251,-0.302254922,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,"[""RightButton_2""]",0.350474221,-0.330567496,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,0.287033354,-0.481121172,1,0,0,RightButton,"[""RightButton""]",,,,,,,39,8.1305,space,3.1685,0,12.9736,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,0.273336274,-0.545454625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29275935,-0.523071725,1,0,0,RightButton,"[""RightButton""]",20,2.9479,space,,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,0.9436,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,0.336338043,-0.53209719,1,0,0,RightButton,"[""RightButton""]",,,,0.070152964,7.5634,space,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,4.3348,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.320419312,-0.505401284,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50.4936744,3.4266,space,38.66382615,5.6937,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,1.0719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2ewvKYOw2lIyB6E,1,2024-04-16_16h00.00.443,interaction task,2021.2.3,MacIntel,59.88023952,120778,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.263410296,-0.510853359,1,0,0,LeftButton,"[""LeftButton""]",39,1.7475,space,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,1.1234,,
