choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,59,51]",space,29.965,space,12.314,friendly,3.01542777,3.988,space,0.842,0,0,0,19,1,20,image/20.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,4.866760168,3.801,space,1.116,0,1,1,33,1,34,image/34.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,2.022440393,2.268,space,1.017,0,2,2,45,1,46,image/46.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,4.98457223,2.483,space,1.049,0,3,3,43,1,44,image/44.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,4.959326788,2.788,space,0.697,0,4,4,46,1,47,image/47.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,3.023842917,2.52,space,0.698,0,5,5,0,1,1,image/1.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,5.893408135,2.316,space,0.748,0,6,6,11,1,12,image/12.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,4.942496494,2.55,space,0.799,0,7,7,48,1,49,image/49.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,3.01542777,2.35,space,0.8,0,8,8,44,1,45,image/45.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
,,,,,,3.074333801,3.917,space,0.631,0,9,9,8,1,9,image/9.jpg,0,0,,R_2imqlVYkXvGkEUD,2,2024-04-21_13h00.58.337,face trait task,2021.2.3,MacIntel,45.45454545,120852,,,,,,,
