chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[97,118,51,123,141,60,95,185,125,76,86,104,84,176,65,55,177,201,191,136,196,189,59,37,72,174,158,105,134,161,120,116,71,150,111,154,144,167,82,9,27,14]",R_2imqlVYkXvGkEUD,space,1.715,space,2.79,space,11.571,space,19.096,space,57.354,space,12.253,space,5.711,3,31.342,1,7.264,3,6.154,3,7.839,2,5.509,0,0,0,0,1,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.064,space,1.221,space,0.522,space,14.346,space,3.412,space,0.711,3,1.791,1,1.249,3,4.467,2,5.149,2,1.483,1,0,1,0,1,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,space,3.278,"[""LeftButton_2""]",-0.338983051,-0.315568022,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,"[""LeftButton_2""]",-0.276271186,-0.32398317,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,"[""RightButton_2""]",0.233898305,-0.265077139,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,0.294915254,-0.47545582,1,0,0,RightButton,"[""RightButton""]",29,6.956,space,2.549,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.23220339,-0.523141655,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.474576271,7.35,space,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,1.254,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.220338983,-0.511921459,1,0,0,LeftButton,"[""LeftButton""]",50,3.452,space,1.151,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.401694915,-0.481065919,1,0,0,RightButton,"[""RightButton""]",,,,,,,,30,4.499,space,29,10.027,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,1.335,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.242372881,-0.5371669,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,98.27940421,3.911,space,2.234206471,7.962,0,4,4,4,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,1.432,,,,,,
