choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,50,54]",space,1.5233,space,1.3936,trustworthy,3.991666667,23.0442,space,1.5424,0,0,0,8,1,9,image/9.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.425,1.4426,space,0.801,0,1,1,20,1,21,image/21.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.866666667,1.3083,space,0.509,0,2,2,44,1,45,image/45.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,4.4375,2.846,space,2.8047,0,3,3,7,1,8,image/8.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.991666667,2.1044,space,0.7541,0,4,4,38,1,39,image/39.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.591666667,1.4187,space,0.8464,0,5,5,46,1,47,image/47.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.758333333,3.4534,space,0.6398,0,6,6,50,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.945833333,1.6167,space,0.461,0,7,7,1,1,2,image/2.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,4.208333333,3.1628,space,2.2014,0,8,8,29,1,30,image/30.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,4.0125,1.6189,space,0.6469,0,9,9,47,1,48,image/48.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.979166667,1.4466,space,0.5175,0,10,10,48,1,49,image/49.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.991666667,1.2377,space,0.2099,0,11,11,4,1,5,image/5.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,4.016666667,2.1274,space,1.0905,0,12,12,51,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.9875,2.3633,space,1.6834,0,13,13,23,1,24,image/24.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.816666667,1.1746,space,0.2355,0,14,14,24,1,25,image/25.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.904166667,1.4401,space,0.4136,0,15,15,0,1,1,image/1.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
,,,,,,3.891666667,1.4774,space,1.2272,0,16,16,25,1,26,image/26.jpg,0,0,,R_31XdkdkFfWXTP68,2,2024-05-25_16h18.04.598,face trait task,2021.2.3,Win32,120.4819277,120326,,,,,,,
