chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[155,124,200,138,38,192,65,189,118,74,88,63,97,169,171,102,168,89,62,75,136,96,59,180,72,54,144,129,159,10,12,184,151,123,93,32,132,113,158,49,157,114]",R_31XdkdkFfWXTP68,space,14.9064,space,1.0112,space,0.4571,space,0.3613,space,0.7139,space,11.575,space,0.4738,1,4.4591,2,2.6591,1,1.5265,2,7.2342,3,3.7138,0,0,0,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6841,space,0.495,space,0.347,space,0.4709,space,0.5583,space,0.2655,2,1.8512,2,2.9232,3,1.1352,3,0.152,2,1.0276,1,0,1,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.7979,space,0.3069,space,0.2967,space,0.4584,space,0.6137,space,0.3251,3,2.1373,3,1.109,3,0.7844,2,1.2422,2,0.8576,2,0,2,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.3814,space,0.1768,space,0.1668,space,0.1508,space,0.5237,space,0.3118,4,1.2973,3,2.0044,3,2.8745,2,0.7854,2,0.4544,3,0,3,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0135,space,0.1508,space,0.183,space,0.0772,space,0.5698,space,0.3539,1,1.8502,2,1.4839,3,1.2124,2,2.1659,2,0.6552,4,0,4,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.1603,space,0.307,space,0.2575,space,0.1884,space,0.7475,space,0.2577,2,1.2349,1,1.3698,3,0.6835,2,0.7045,2,0.2593,5,0,5,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5954,space,0.2179,space,0.208,space,0.1864,space,0.3187,space,0.2312,1,5.4015,1,4.6436,3,0.7385,2,0.5913,2,0.1459,6,0,6,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4421,space,0.19,space,0.2216,space,0.1744,space,0.0002,space,0.2166,1,9.202,1,2.1004,3,1.651,2,0.3169,2,0.2002,7,0,7,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4667,space,0.2166,space,0.2003,space,0.2082,space,0.5239,space,0.2412,2,2.2667,1,2.0235,3,0.2377,2,0.2232,2,0.1585,8,0,8,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9897,space,0.2097,space,0.1847,space,0.5379,space,0.6691,space,0.2368,3,0.7422,1,0.4085,3,0.4179,2,0.1913,2,0.2759,9,0,9,0,1,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,space,0.9178,[],-0.00755814,-0.134722222,0,0,0,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,"[""LeftButton_2""]",-0.251162791,-0.340277778,1,0,0,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
