chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[104,113,175,6,115,149,150,76,186,94,193,134,181,147,125,202,178,98,133,43,78,106,49,158,163,174,157,131,123,70,88,73,119,135,184,57,67,60,91,16,26,55]",R_37HoYLt2WoBiFYl,space,1.6011,space,4.2054,space,21.6005,space,29.3337,space,28.0222,space,34.3509,space,12.5607,3,22.2593,3,17.0998,3,19.8067,1,8.1921,3,27.6495,0,0,0,0,1,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.552,space,18.5233,space,1.0397,space,1.6441,space,2.851,space,1.4718,3,12.4336,1,31.8759,3,21.0295,2,25.9231,2,10.2957,1,0,1,0,1,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,space,4.7212,"[""LeftButton_2""]",-0.275,-0.307407464,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,"[""LeftButton_2""]",-0.276041651,-0.303703732,1,0,0,LeftButton_2,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,"[""LeftButton_2""]",-0.276041651,-0.303703732,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.308333397,-0.472222222,1,0,0,RightButton,"[""RightButton""]",10,6.0836,space,2.0191,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2875,-0.48703715,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.005208492,16.0933,space,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,4.4889,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.26875,-0.518518575,1,0,0,RightButton,"[""RightButton""]",,,,,,,,71,5.2893,space,52,9.5229,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,1.5348,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254166651,-0.48703715,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.319791698,-0.474074131,1,0,0,RightButton,"[""RightButton""]",,,,,3.963541985,5.0117,space,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,1.6249,,,,,,,,
