choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,60,59]",space,1.796,space,0.76,competent,5.020719738,4.06,space,2.658,0,0,0,18,1,19,image/19.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,5.367502726,3.602,space,0.348,0,1,1,3,1,4,image/4.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,3.967284624,2.669,space,0.3,0,2,2,23,1,24,image/24.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,4.026172301,2.819,space,1.443,0,3,3,33,1,34,image/34.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,3.594329335,4.47,space,0.557,0,4,4,40,1,41,image/41.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,4.896401309,3.493,space,0.918,0,5,5,15,1,16,image/16.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,4.01308615,2.452,space,1.56,0,6,6,41,1,42,image/42.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,4.961832061,1.609,space,0.486,0,7,7,11,1,12,image/12.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,5.491821156,3.772,space,0.132,0,8,8,9,1,10,image/10.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,4.93565976,2.352,space,0.501,0,9,9,2,1,3,image/3.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,1.05561614,4.686,space,0.799,0,10,10,50,1,55,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,4.588876772,2.244,space,0.595,0,11,11,12,1,13,image/13.jpg,0,0,,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
,,,,,,6.996728462,3.492,space,0.444,0,12,12,52,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3DwBYBdZzedqc9v,2,2024-05-25_13h31.30.653,face trait task,2021.2.3,MacIntel,62.5,120535,,,,,,,
