chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[196,6,174,94,202,172,77,158,165,186,120,104,86,185,166,170,109,56,103,87,32,184,62,125,118,154,150,74,42,143,79,12,99,152,66,116,132,55,67,128,133,58]",R_3DwBYBdZzedqc9v,space,2.797,space,3.906,space,28.05,space,41.947,space,38.63,space,11.709,space,13.462,3,87.702,3,16.343,2,19.404,2,8.541,1,9.086,0,0,0,0,1,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.231,space,10.793,space,10.644,space,202.857,space,18.464,space,42.782,3,1.324,1,6.147,3,9.396,2,7.78,3,20.646,1,0,1,0,1,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.864,space,0.388,space,0.19,space,0.164,space,0.514,space,0.305,3,1.603,1,2.462,3,6.139,2,4.881,2,6.747,2,0,2,0,1,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,space,2.017,"[""RightButton_2""]",0.251830161,-0.345692475,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,"[""LeftButton_2""]",-0.320644217,-0.282442748,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,"[""RightButton_2""]",0.303074671,-0.310796074,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.243045388,-0.528898582,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.32942899,-0.480916031,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.238653001,-0.533260632,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,6.123,space,0,10.725,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,2.027,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.257686676,-0.531079607,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,0.012570803,2.825,space,0,5.861,0,3,3,3,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,2.677,,,,,,,,
