chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[58,56,189,66,68,45,152,175,117,190,28,142,87,48,112,103,2,74,148,106,131,176,156,143,177,149,81,100,108,167,130,85,196,93,199,161,132,124,19,180,61,79]",R_3GpGQf3Ui2F2LUr,space,1.229,space,4.1444,space,132.2062,space,18.8595,space,19.3476,space,7.8407,space,4.2185,4,6.4161,1,6.9748,3,7.3225,1,6.4568,3,8.2732,0,0,0,0,1,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8057,space,7.8645,space,3.9635,space,14.8531,space,0.0088,space,0.1715,3,4.6167,1,2.1645,3,3.0139,2,7.2027,2,2.6824,1,0,1,0,1,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,space,5.2078,[],-0.036545139,0.030972222,0,0,0,0,0,0,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,"[""RightButton_2""]",0.247884115,-0.305911458,1,0,0,0,1,1,1,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,"[""RightButton_2""]",0.248578559,-0.307022569,1,0,0,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,-0.255159505,-0.506519097,1,0,0,LeftButton,"[""LeftButton""]",70,4.2848,space,1.2691,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.261577691,-0.508237847,1,0,0,LeftButton,"[""LeftButton""]",70,2.2261,space,1.1594,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.305403646,-0.534600694,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,40.53468715,9.2574,space,69.56687097,12.6847,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,2.8125,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.312201606,-0.519600694,1,0,0,RightButton,"[""RightButton""]",,,,,2.438964844,13.6389,space,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,3.9212,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.275602214,-0.520642361,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.433810764,6.1512,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,0.9361,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.33196072,-0.493350694,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.247200521,-0.516840278,1,0,0,RightButton,"[""RightButton""]",71,2.8021,space,1.1149,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.26086697,-0.525538194,1,0,0,RightButton,"[""RightButton""]",,,,,,,,58,6.8794,space,40,8.8002,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,2.7375,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.279855686,-0.516076389,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.007785373,5.8924,space,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,0.9184,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.302718099,-0.465694444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,39.26822478,4.8124,space,68.89226466,6.649,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,0.6034,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.22757704,-0.505694444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.23397895,-0.491927083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,80.13917386,5.4622,space,30.80632716,8.0401,0,11,11,11,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,1.1282,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.30718316,-0.512543403,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.0405531,2.8949,space,49.86628437,4.3483,0,12,12,12,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,0.5695,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.297227648,-0.503020833,1,0,0,RightButton,"[""RightButton""]",81,2.1874,space,0.519,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.285031467,-0.507430556,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.978841146,2.7454,space,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.6751,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.275434028,-0.482612847,1,0,0,RightButton,"[""RightButton""]",49,4.3485,space,0.8679,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.246999783,-0.497673611,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.275922309,-0.497795139,1,0,0,RightButton,"[""RightButton""]",,,,,,,,51,2.7652,space,50,4.7485,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,0.7014,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.252935113,-0.497977431,1,0,0,RightButton,"[""RightButton""]",80,1.7366,space,0.1181,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.241015625,-0.478680556,1,0,0,RightButton,"[""RightButton""]",47,2.2499,space,0.5184,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.292550998,-0.529826389,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,41,2.9794,space,61,5.7942,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.5744,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.253434245,-0.50671875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,61,5.7098,space,39,9.3133,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,0.5681,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.232969835,-0.500008681,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.990966797,2.3488,space,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,0.5193,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.254389106,-0.504670139,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,82.71374772,17.9674,space,37.03780426,15.437,0,23,23,23,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,5.5679,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.265608724,-0.533185764,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,67,2.8116,space,38,4.7732,,,,,,0,24,24,24,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,0.7533,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.244270833,-0.485885417,1,0,0,RightButton,"[""RightButton""]",79,2.123,space,0.7683,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.219335937,-0.489088542,1,0,0,RightButton,"[""RightButton""]",,,,,,,,58,4.3094,space,40,6.0323,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,0.4405,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.276996528,-0.528125,1,0,0,LeftButton,"[""LeftButton""]",50,3.0227,space,0.8741,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.283875868,-0.538619792,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.977484809,1.7182,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.7361,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,0.276578776,-0.488723958,1,0,0,RightButton,"[""RightButton""]",,,,,1.991455078,1.1188,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,0.4718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.277609592,-0.514227431,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,2.1854,space,37,3.4855,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.6043,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3GpGQf3Ui2F2LUr,1,2024-06-01_02h35.24.107,interaction task,2021.2.3,MacIntel,59.88023952,120850,,,,,,,,,,,,,,,,Greater,Smaller,,,0.23921441,-0.503524306,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.13224695,2.5128,space,49.69694778,4.8574,0,31,31,31,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.5097,,,,,,,,
