choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,55,52]",space,10.823,space,32.838,friendly,2.993333333,7.229,space,2.756,0,0,0,10,1,11,image/11.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,6.006666667,3.79,space,1.073,0,1,1,40,1,41,image/41.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,6.006666667,2.421,space,1.554,0,2,2,43,1,44,image/44.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,1.993333333,1.97,space,0.475,0,3,3,16,1,17,image/17.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,4.02,3.286,space,0.359,0,4,4,47,1,48,image/48.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,6.98,2.354,space,0.556,0,5,5,48,1,49,image/49.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,3.98,2.136,space,0.378,0,6,6,46,1,47,image/47.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,6.993333333,7.298,space,3.056,0,7,7,51,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,5,2.853,space,0.755,0,8,8,34,1,35,image/35.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
,,,,,,3.933333333,2.136,space,0.655,0,9,9,7,1,8,image/8.jpg,0,0,,R_3HGNQtHAhV6oD0K,2,2024-05-30_16h39.51.707,face trait task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,
